"NULL","general freight","NULL","household goods","NULL","metal sheets coils rolls"
"x","motor vehicles","NULL","drive/tow away","NULL","logs poles beams lumber"
"x","building materials","NULL","mobile homes","x","machinery large objects"
"NULL","fresh produce","NULL","liquid/gas","NULL","intermodal cont."
"NULL","passengers","NULL","oilfield equipment","NULL","livestock containers"
"NULL","grain feed hay","NULL","coal/coke","NULL","meat"
"NULL","garbage refuse trash","NULL","u.s. mail","NULL","chemicals"
"NULL","commodities dry bulk","NULL","refridgerated food","NULL","beverages"
"NULL","paper products","NULL","utility","NULL","farm supplies"
"NULL","construction","NULL","water - well","NULL","NULL"
