"label","Wikipage page ID","Wikipage revision ID"
"Alliance of International Doctors","46266633","670433234"
"Almargem","46200508","668238411"
"Ann Foundation","46649284","682448778"
"British Society for Nanomedicine","47929654","682892963"
"Bruitparif","",""
"CSLRA","47002805","682677490"
"Center on Business and Poverty","46295619","675684997"
"Defy Ventures","47716326",""
"Florida Center for Investigative Reporting","46186721","654245439"
"For Common Cause","46614125","670101287"
"Generations of Virtue","",""
"INJAZ Al-Arab","46786960","683074630"
"ISOC-Yemen","46193955","662179921"
"Indiana Family Institute","46272992","654267304"
"Juneau Mountain Rescue","46184772",""
"K11 Art Foundation","47764494","683550473"
"MQ: Transforming Mental Health","47837423","682198877"
"Red Paw Emergency Relief Team","46454867","670175861"
"Technical Committee on VLSI","",""
"The Hibbs Lupus Trust","47719224","680842395"
