"binomial","label","binomial authority","Wikipage revision ID","Wikipage page ID"
"","Rabidosa","","670020203","47148382"
"","Reichlingia annae","","670624999","47177139"
"","Rosamygale","","683251561","47144340"
"","Typhochlaena","","670096854","47160995"
"","Abracadabrella birdsville","","679993532","47600156"
"","Abracadabrella elegans","","677911009","47621133"
"","Abracadabrella lewiston","","677893105","47621343"
"","Acragas carinatus","","678108328","47632785"
"","Acragas castaneiceps","","678566017","47661810"
"","Acragas erythraeus","","678565930","47661952"
"","Acragas fallax","","678527392","47661976"
"","Acragas hieroglyphicus","","678449883","47662098"
