"Wikipage revision ID","label","Wikipage page ID","Link from a Wikipage to an external page"
"682697529","&pizza","47858476","http://www.andpizza.com"
"","1. FC Bruchsal","",""
"","1. FC Lübars","",""
"683772294","100% NL","46492191","http://www.100p.nl/"
"","13i","",""
"","16 Handles","",""
"","1977 (band)","",""
"679560165","1MISSION","47726797","http://1mission.org/"
"678646085","1 Regiment RLC","47672653","http://www.army.mod.uk/logistic/regiments/24861.aspx"
"683154127","1st Arkansas Cavalry Battalion (Stirman's)","46828437",""
"682613434","1st Lagos State House of Assembly","46443982","http://www.lagoshouseofassembly.gov.ng"
"671441979","MVV Maastricht in het seizoen 2013/14","46816861",""
"","2015 IPC Swimming World Championships","",""
"","Pro12 2015/16","",""
"","208 Talks of Angels","",""
"680626414","24hrkpop","47730501","http://24hrkpop.com"
"670116173","2nd Lagos State House of Assembly","46443390","http://www.lagoshouseofassembly.gov.ng"
"","33 FC Budapest","46778236",""
"","33m2 (33 square meters) - DIY retail network","46341305",""
"657362091","360 Golf Holidays","46445633","http://www.360golfholidays.com"
