"Sterbeort","death place","label"
"http://dbpedia.org/resource/Polotsk","http://dbpedia.org/resource/Polotsk","Anselm Eckart"
"","","David Charlesworth"
"","","Kaundinya"
"","","Margaret Traxler"
"","","Narada Maha Thera"
"","","Nasiruddin Chiragh Dehlavi"
"","","Thomas Byles"
"","","Thomas Henshaw (bishop)"
"","","У Дхаммалока"
"","","Mar Denha I"
"","","Dzongsar Jamyang Khyentse Rinpoche"
"","","Frank Collins"
"","","Syed Ali Naqi Naqvi Qumi"
"","","Тамала Кришна Госвами"
"","","Yaoshan Weiyan"
"","","Ajahn Sucitto"
"","","Alhaj Moulana Ghousavi Shah"
"","","Ghousi Shah"
