"Wikipage revision ID","label","Wikipage page ID","Link from a Wikipage to an external page"
"680617821","Parker Pond","47789879","http://www.maine.gov/ifw/fishing/lakesurvey_maps/kennebec/parker_pond.pdf"
"680730494","Reyran River","47727531",""
"","","",""
"","Aan River","",""
"","Abakan River","",""
"","Abba River","",""
"","Abe River","",""
"","Abercrombie River","",""
"","Aberdeen Channel","",""
"","Aberfoyle River","",""
"","Abra (Fluss)","",""
"","Abukuma River","",""
"","Abulog","",""
"","Achankovil","",""
"","Río Acheron","",""
"","Achit Lake","",""
"","Adcock River","",""
"","Adelaide River","",""
"","Adolphus Channel","",""
"","Río Adyar","",""
