"system","title","developer","publisher","genre","aso episode","reviewer","score"
"colecovision","zaxxon","NULL","sega","action","NULL","t-man","tr"
"dreamcast","shenmue","am2","sega","f.r.e.e.","97","nz17","r"
"dreamcast","sonic adventure","sonic team","sega","action","NULL","nz17","tr"
"game boy","castlevania adventure","konami","konami","platformer","108","nz17","r"
"game boy","super mario land 2: 6 golden coins","NULL","nintendo","action","NULL","nz17","n"
"game boy advance","gunstar super heroes","treasure","sega","shooter","93.5","nz17","n"
"game boy advance","rhythm tengoku (import)","nintendo","nintendo","music / rhythm","114","nz17","r"
"game boy advance","sigma star saga","wayforward technologies","namco","shooter rpg","112","nz17","n"
"game boy advance","wario ware twisted!","nintendo","nintendo","mini-game","113","nz17","hr"
"game boy advance","wario ware inc: mega microgames","nintendo r&amp;d1","nintendo","mini-game","110","nz17","r"
"game boy color","r-type dx","bits studios","nintendo","shooter","108","nz17","r"
"game gear","sonic the hedgehog","NULL","sega","action","NULL","nz17","hr"
"gamecube","dance dance revolution mario mix","konami","nintendo","music / rhythm","99","nz17","n"
"gamecube","p.n.03","capcom production studio 4","capcom","shooter","95","nz17","n"
"nes","bionic commando","NULL","capcom","action","NULL","nz17","hr"
"nes","dance aerobics","NULL","nintendo","music / rhythm","NULL","nz17","r"
"nes","final fantasy","NULL","nintendo","rpg","NULL","t-man","r"
"nes","metal storm","NULL","irem","action","NULL","nz17","tr"
"nes","ninja gaiden ii: the dark sword of chaos","NULL","tecmo","action","NULL","nz17","tr"
"nes","ninja gaiden iii: the ancient ship of doom","NULL","tecmo","action","NULL","nz17","r"
"nes","startropics","NULL","nintendo","adventure","NULL","nz17","hr"
"nes","super contra","NULL","konami","action","NULL","t-man","r"
"nes","super mario brothers 3","NULL","nintendo","action","NULL","zguy","tr"
"nes","wrath of the black mantis","NULL","nintendo","action","NULL","t-man","n"
"nintendo ds","bleach: the blade of fate","treasure","sega","fighting","121","nz17","n"
"nintendo ds","castlevania: dawn of sorrow","konami","konami","action","121","nz17","n"
"nintendo ds","castlevania: portrait of ruin","konami","konami","platformer","109","nz17","r"
"nintendo ds","contra 4","wayforward","konami","action","120","nz17","hr"
"nintendo ds","disgaea ds","nippon ichi software","nis america","strategy rpg","124","nz17","tr"
"nintendo ds","dragon quest heroes: rocket slime","tose","square enix","action rpg","109","nz17","nr"
"nintendo ds","elite beat agents","inis","nintendo","music / rhythm","107","nz17","tr"
"nintendo ds","etrian odyssey","atlus","atlus","rpg","121","nz17","nr"
"nintendo ds","izuna: legend of the unemployed ninja","ninja studio","atlus","action rpg","120","nz17","n"
"nintendo ds","jam sessions","plato","ubisoft","music / rhythm","121","nz17","n"
"nintendo ds","kingdom hearts 358/2 days","h.a.n.d.","square enix / disney interactive","action rpg","126","nz17","n"
"nintendo ds","kirby canvas curse","hal laboratory inc.","nintendo","platformer","101","nz17","n"
"nintendo ds","kirby squeak squad","hal america inc.","nintendo","platformer","110","nz17","r"
"nintendo ds","meteos","q entertainment","nintendo","puzzle","101","nz17","n"
"nintendo ds","moero! nekketsu rhythm damashii: osu! tatakae! ouendan 2","inis","nintendo","music / rhythm","120","nz17","hr"
"nintendo ds","monster bomber","taito corporation","taito corporation","puzzle","117","nz17","nr"
