"Rank","Name","State","Industry","Revenue ($bil)","Employees"
"7","C&S Wholesale Grocers","NH","Food Wholesale","19.94 &nbsp;&nbsp;&nbsp;&nbsp;","18700"
"25","Reyes Holdings","IL","Food Wholesale","7.40 &nbsp;&nbsp;&nbsp;&nbsp;","7600"
"43","MBM","NC","Food Wholesale","4.96 &nbsp;&nbsp;&nbsp;&nbsp;","3000"
"62","Gordon Food Service","MI","Food Wholesale","3.92 2&nbsp;&nbsp;","7050"
"68","Roundy's Supermarkets","WI","Food Wholesale","3.70 2&nbsp;&nbsp;","21000"
"70","HT Hackney","TN","Food Wholesale","3.55 &nbsp;&nbsp;&nbsp;&nbsp;","3600"
"86","Eby-Brown","IL","Food Wholesale","3.20 &nbsp;&nbsp;&nbsp;&nbsp;","2400"
"104","Vistar","CO","Food Wholesale","2.85 2&nbsp;&nbsp;","3200"
"116","Alex Lee","NC","Food Wholesale","2.60 &nbsp;&nbsp;&nbsp;&nbsp;","10500"
"121","Grocers Supply","TX","Food Wholesale","2.53 &nbsp;&nbsp;&nbsp;&nbsp;","8800"
"127","Services Group of America","AZ","Food Wholesale","2.50 &nbsp;&nbsp;&nbsp;&nbsp;","4200"
"160","Dot Foods","IL","Food Wholesale","2.16 &nbsp;&nbsp;&nbsp;&nbsp;","2746"
"172","Ben E Keith","TX","Food Wholesale","2.00 &nbsp;&nbsp;&nbsp;&nbsp;","3200"
"183","Maines Paper & Food Service","NY","Food Wholesale","1.95 &nbsp;&nbsp;&nbsp;&nbsp;","1950"
"236","Red Chamber Group","CA","Food Wholesale","1.58 &nbsp;&nbsp;&nbsp;&nbsp;","1600"
"240","Shamrock Foods","AZ","Food Wholesale","1.57 &nbsp;&nbsp;&nbsp;&nbsp;","2513"
"329","GSC Enterprises","TX","Food Wholesale","1.17 &nbsp;&nbsp;&nbsp;&nbsp;","1150"
"365","Bozzuto's","CT","Food Wholesale","1.08 e&nbsp;&nbsp;","3100"
"393","Purity Wholesale Grocers","FL","Food Wholesale","1.00 &nbsp;&nbsp;&nbsp;&nbsp;","350"
