"Currency","Symbol&nbsp; &nbsp;","ETF Name"
"Austria","FXE","CurrencyShares Euro Trust"
"Australia","FXA","CurrencyShares Australian Dollar Trust"
"Belgium","FXE","CurrencyShares Euro Trust"
"Brazil","BZF","WisdomTree Dreyfus ETF Brazil Real Fund"
"Canada","FXC","CurrencyShares Canadian Dollar Trust"
"Switzerland","FXF","CurrencyShares Swiss Franc Trust"
"China","CYB","WisdomTree Dreyfus Chinese Yuan Fund"
"Germany","FXE","CurrencyShares Euro Trust"
"Spain","FXE","CurrencyShares Euro Trust"
"France","FXE","CurrencyShares Euro Trust"
"Britain","FXB","CurrencyShares British Pound Sterling Trust"
"India","ICN","WisdomTree Dreyfus Indian Rupee Fund"
"Italy","FXE","CurrencyShares Euro Trust"
"Japan","FXY","CurrencyShares Japanese Yen Trust"
"Mexico","FXM","CurrencyShares Mexican Peso Trust"
"Netherlands","FXE","CurrencyShares Euro Trust"
"New Zealand","BNZ","WisdomTree Dreyfus New Zealand Dollar Fund"
"Poland","FXE","CurrencyShares Euro Trust"
"Russia","XRU","CurrencyShares Russian Ruble Trust"
"Sweden","FXS","CurrencyShares Swedish Krona Trust"
"United States","UUP","PowerShares DB US Dollar Index Bullish"
"South Africa","SZR","WisdomTree Dreyfus South African Rand Fund"
