"scientific name","common name","state rank","global rank"
"acer saccharum","sugar maple","s3","g5"
"acorus americanus","american sweetflag","sh","g5"
"actaea pachypoda","white baneberry","s1","g5"
"adiantum pedatum","northern maidenhair-fern","s3","g5"
"adlumia fungosa","climbing fumitory","sx","g4"
"aeschynomene virginica","sensitive joint-vetch","sx","g2"
"agalinis fasciculata","fascicled false-foxglove","sh","g5"
"(agalinis virgata)","NULL","NULL","NULL"
"agalinis linifolia","flaxleaf false-foxglove","s1.1","g4?"
"agalinis maritima","saltmarsh false-foxglove","s3","g5"
"agalinis obtusifolia","ten-lobe false-foxglove","sh","g4g5q"
"agalinis setacea","thread-leaved gerardia","s1","g5?"
"agalinis tenuifolia","slender false-foxglove","s1","g5"
"agastache nepetoides","yellow giant hyssop","s2","g5"
"agastache scrophulariifolia","purple giant hyssop","sh","g4"
"ageratina aromatica","lesser snakeroot","sh","g4g5t?"
"(eupatorium aromaticum)","NULL","NULL","NULL"
"agrimonia gryposepala","tall hairy groovebur","s1","g5"
"agrimonia pubescens","soft groovebur","s3","g5"
"agrimonia rostellata","woodland agrimony","s2","g5"
"agrimonia striata","roadside agrimony","s1","g5"
"aletris farinosa","white-tubed colicroot","s3","g5"
"allium tricoccum","small white leek","s3","g5"
"alnus maritima","seaside alder","s3","g3"
"amaranthus pumilus","seabeach amaranth","s1.1","g2"
"amelanchier obovalis","obovate coastal juneberry","sh","g4g5"
"amianthium muscitoxicum","fly-poison","s2","g4g5"
"ammannia coccinea","toothcup ammannia","sh","g5"
"(ammannia teres)","NULL","NULL","NULL"
"amphicarpum purshii","blue maiden-cane","s2","g4"
"anagallis minima","chaffweed","sh","g5"
"anaphalis margaritacea","pearly everlasting","sh","g5"
"andropogon gerardii","big bluestem","s3","g5"
"anemone virginiana","virginia anemone","s3","g5"
"angelica atropurpurea","great angelica","s1.1","g5"
"angelica venenosa","hairy angelica","s2","g5"
"antennaria howellii ssp. neodioica","pussytoes","s1","g4g5t?"
"(antennaria neodioica)","NULL","NULL","NULL"
"aplectrum hyemale","puttyroot","s2","g5"
"apocynum androsaemifolium","spreading dogbane","s1","g5"
"apocynum sibiricum","clasping-leaved dogbane","sh","g5?"
"aquilegia canadensis","wild columbine","s2","g5"
"arabis canadensis","sicklepod","s2","g5"
"arabis drummondii","drummond's rockcress","sh","g5"
"arabis glabra","tower-mustard","sh","g5"
"arabis laevigata","smooth rock-cress","s1","g5t5"
"arabis lyrata","lyre-leaf rockcress","s1","g5"
"aralia racemosa","american spikenard","s3","g5"
"arctostaphylos uva-ursi","bearberry","s1.1","g5"
"arethusa bulbosa","dragon's mouth orchid","sh","g4"
"arisaema dracontium","green dragon","s2","g5"
"aristida lanosa","woolly three-awn","sh","g5"
"aristida virgata","wand-like three-awn grass","s1","g5t4t5"
"aristolochia serpentaria","virginia snakeroot","s3","g5"
"arnica acaulis","leopard's-bane","sh","g5"
"arnoglossum atriplicifolium","pale indian-plantain","s1","g4g5"
"(cacalia atriplicifolia)","NULL","NULL","NULL"
"aronia melanocarpa","black chokeberry","sh","g5"
"aronia prunifolia","purple chokeberry","s1","g4g5q"
"(aronia x prunifolia)","NULL","NULL","NULL"
"asclepias exaltata","poke milkweed","s2","g5"
"asclepias incarnata ssp. incarnata","marsh milkweed","sh","g5t5"
"asclepias lanceolata","smooth orange milkweed","s1","g5"
"asclepias longifolia","long-leaf milkweed","sx","g4g5"
"asclepias purpurascens","purple milkweed","s2","g4g5"
"asclepias quadrifolia","four-leaved milkweed","sh","g5"
"asclepias rubra","red milkweed","s1","g4g5"
"asclepias variegata","white milkweed","s1","g5"
"asclepias verticillata","whorled milkweed","sh","g5"
"asplenium rhizophyllum","walking-fern spleenwort","sx","g5"
"asplenium trichomanes","maidenhair spleenwort","s1.1","g5t5"
"aster concolor","eastern silvery aster","sh","g4?"
"aster dumosus","bushy aster","s1","g5"
"aster ericoides","white heath aster","sh","g5"
"aster fragilis","small white aster","s3","g4g5"
"(aster vimineus)","NULL","NULL","NULL"
"aster gracilis","slender aster","s3","g4"
"aster laevis","smooth blue aster","s1.1","g5"
"aster nemoralis","bog aster","sx","g5"
"aster prenanthoides","crooked-stem aster","s1","g4g5"
"aster radula","rough-leaf aster","sh","g5"
"aster schreberi","schreber's aster","s2","g4"
"aster spectabilis","showy aster","s1","g5"
"aster umbellatus","flat-top white aster","s1","g5"
"atriplex arenaria","seabeach orach","s3","g5"
"aureolaria flava","yellow false-foxglove","s1","g5t?"
"aureolaria pedicularia","fernleaf yellow false-foxglove","s1","g5t4"
"bartonia paniculata","twining bartonia","s2","g5t5"
"betula populifolia","gray birch","s3","g5"
"bidens bidentoides","maryland bur-marigold","s1","g3"
"bidens connata","purple-stem swamp beggar-ticks","s3","g5"
"bidens coronata","tickseed sunflower","s3","g5"
"bidens mitis","small-fruit beggar-ticks","s2","g4?"
"bidens vulgata","tall bur-marigold","s1.1","g5"
"blephilia ciliata","downy woodmint","sh","g5"
"blephilia hirsuta","hairy woodmint","sh","g5?"
"boltonia asteroides","aster-like boltonia","s2","g5"
"botrychium matricariifolium","chamomile grape-fern","s1","g5"
"botrychium oneidense","blunt-lobe grape-fern","s1.1","g4q"
"brachyelytrum erectum","bearded short-husk","s3","g5"
"brasenia schreberi","watershield","s3","g5"
"bromus latiglumis","riverbank brome","s1.1","g5"
"(bromus altissimus)","NULL","NULL","NULL"
"bromus pubescens","hairy wood brome grass","s2","g5q"
"buchnera americana","bluehearts","sh","g5?"
"calamagrostis canadensis","blue-joint reedgrass","s1","g5"
"callitriche palustris","vernal water-starwort","s3","g5"
"callitriche terrestris","terrestrial water-starwort","s3","g5"
"calopogon tuberosus","tuberous grass-pink","s1","g5"
"caltha palustris","marsh marigold","s2","g5"
"calystegia spithamaea","low bindweed","s1","g4g5t?"
"campanula aparinoides","marsh bellflower","s2","g5"
"cardamine angustata","slender toothwort","s2","g5"
"(dentaria heterophylla)","NULL","NULL","NULL"
"cardamine longii","long's bitter-cress","s1","g3q"
"cardamine parviflora var. arenicola","small-flower bitter-cress","s3","g5t?"
"cardamine rotundifolia","roundleaf water cress","s1.1","g4"
"carex aggregata","glomerate sedge","s3","g5"
"(carex sparganioides var. aggregata)","NULL","NULL","NULL"
"carex argyrantha","hay sedge","sh","g5"
"carex barrattii","barratt's sedge","s3","g3g4"
"carex bicknellii","bicknel's sedge","sx","g5"
"carex brevior","fescue sedge","sx","g5?"
"carex bromoides","brome-like sedge","s1","g5"
"carex bullata","button sedge","s3","g5"
"carex bushii","bush's sedge","s2","g4"
