"Nation","Capital","Language(s)","Organisation","Notes"
"Annam","Hue","Vietnamese Chinese Mandarin","Chinese Empire","NULL"
"Arabia","Riyadh","Arabic English (1 other language)","British Empire","NULL"
"Brunei","Bandar Seri Begawan","Malay Chinese Mandarin","Chinese Empire","NULL"
"Cochin","Saigon","Vietnamese Chinese Mandarin","Chinese Empire","NULL"
"Kurdistan","Van","Kurdish","&nbsp;?","NULL"
"Kuwait","Kuwait City","Arabic English","British Empire","NULL"
"Iraq","Bagdad","Arabic English","British Empire","NULL"
"Japan","Tokyo","Japanese","Japanese Empire","NULL"
"Korea","Seoul","Korean","Chinese Empire","NULL"
"Malacca","Malacca","Malay Chinese Mandarin","Chinese Empire","NULL"
"Nepal","Kathmandu","Nepali","Chinese Empire","NULL"
"Oman","Muscat","Arabic English","British Empire (infulenced) Caliphate","NULL"
"Palestine","Jerusalem","Arabic English Hebrew","British Empire","NULL"
"Philippines","Manila","Spanish Chinese Mandarin","Chinese Empire","NULL"
"Siam","Bangkok","Thai Chinese Mandarin","Chinese Empire","NULL"
"Syria","Damascus","Arabic French","French Colonial Empire","NULL"
"Tibet","Lhasa","Tibetan","Chinese Empire","NULL"
"Tonkin","Hanoi","Vietnamese Chinese Mandarin","Chinese Empire","NULL"
"Turkey","Ankara","Turkish","Ottoman Empire","NULL"
"Yemen","Sana'a","Arabic English","British Empire","NULL"
