"Wikipage revision ID","Wikipage disambiguates","label","Wikipage page ID"
"681932122","http://dbpedia.org/resource/Saadat","Sadat","727222"
"555359707","","Soudek","23154430"
"540839545","http://dbpedia.org/resource/Johann_Andreas_Streicher","Streicher","659363"
"329330598","http://dbpedia.org/resource/4176_Sudek","Sudek","640021"
"546087824","","Talman","30532316"
"672029305","","陶 (姓)","30594925"
"646255851","","Um (Korean surname)","641444"
"641036408","http://dbpedia.org/resource/Alisa_Vetterlein","Vetter","453175"
"600166069","http://dbpedia.org/resource/Paulina_Woźniak","Woźniak","574490"
"679358021","http://dbpedia.org/resource/Elfi_Zinn","Zinn","876275"
"635226083","","Crockett (surname)","15406013"
"636005895","","Golovin (surname)","14269521"
"666740547","","Kanazawa (surname)","23636082"
"572598428","http://dbpedia.org/resource/István_Kecskés_(boxer)","Kecskés","6765593"
"","","Minutoli",""
"544510105","http://dbpedia.org/resource/Nikki_Blonsky","Blonsky","6477071"
"645447640","","Brazier (name)","36094361"
"675215866","","Cederholm","47270706"
"673777230","","Chag (surname)","41848530"
"588582907","","Highmoor (family)","1744088"
