"label","Wikipage revision ID","Link from a Wikipage to an external page","Wikipage page ID"
"Airsport Sonata","668344048","http://www.airsport.wz.cz/sonata.htm","46176204"
"Airsport Song","676578152","http://www.airsport.wz.cz/song.htm","46198806"
"America (2016) (ship)","678229968","http://americancruiselines.com/small-riverboat-cruise-ships/america","47383234"
"BRP Batak (AT-299)","675385402","http://books.google.com/books?id=TJunjRvplU4C","47323252"
"BRP Lake Caliraya (AF-81)","664835402","http://www.dlsu.edu.ph/offices/sps/rotc/pdf/ms2/namingPNships.pdf","46842218"
"BYD Tang","678429862","http://www.bydauto.com.cn/car-360-tang.html","47390318"
"Bajaj Pulsar 200NS","681953716","http://www.bajajauto.com/pulsar200ns_index.asp","46588190"
"Bede BD-12","668353233","http://www.bedecorp.com/bd-12-14-.html","46422949"
"Bede BD-14","668353237","http://www.bedecorp.com/bd-12-14-.html","46427284"
"Civity","674592968","http://www.caf.es/en/index.php","45678288"
"Coelho AC-11","668389231","","46412579"
"Faradair Aerospace BEHA","668362461","http://www.faradair.com/beha.html","46258149"
"Fiat Aegea","683490642","http://aegea.fiat.com.tr/","47651061"
"Fly Castelluccio Diavolo","668368949","https://web.archive.org/web/20040401150818/http:/www.flycastelluccio.it/trike/diavolo.asp","47009314"
"French brig Colibri (1802)","683054615","http://www.servicehistorique.sga.defense.gouv.fr/contenu/module-dc/functions/dc/attached/FRSHD_PUB_00000226_dc/FRSHD_PUB_00000226_dc_att-FRSHD_PUB_00000226_01.pdf","47939397"
"French fluyt Égyptienne (1812)","678920102","http://www.servicehistorique.sga.defense.gouv.fr/contenu/module-dc/functions/dc/attached/FRSHD_PUB_00000226_dc/FRSHD_PUB_00000226_dc_att-FRSHD_PUB_00000226_02.pdf","47682303"
"U-1203","","",""
"German submarine U-2502","","",""
"U 2506","","",""
"German submarine U-2519","682122038","","46564006"
