"rank","country / territory","population"
"?#128;&#148;","world","6464750000"
"1","people's       republic of china","1315844000"
"2","india","1103371000"
"3","united states","298213000"
"4","indonesia","222781000"
"5","brazil","186405000"
"6","pakistan","157935000"
"7","russia","143202000"
"8","bangladesh","141822000"
"9","nigeria","131530000"
"10","japan","128085000"
"11","mexico","107029000"
"12","vietnam","84238000"
"13","philippines","83054000"
"14","germany","82689000"
"15","ethiopia","77431000"
"16","egypt","74033000"
"17","turkey","73193000"
"18","iran","69515000"
"19","thailand","64233000"
"20","france","60496000"
"21","united kingdom","59668000"
"22","italy","58093000"
"23","democratic       republic of the congo","57549000"
"24","myanmar","50519000"
"25","south korea","47817000"
"26","south africa","47432000"
"27","ukraine","46481000"
"28","colombia","45600000"
"29","spain","43064000"
"30","argentina","38747000"
"31","poland","38530000"
"32","tanzania","38329000"
"33","sudan","36233000"
"34","kenya","34256000"
"35","algeria","32854000"
"36","canada","32268000"
"37","morocco","31478000"
"38","afghanistan","29863000"
"39","uganda","28816000"
"40","iraq","28807000"
"41","peru","27968000"
"42","nepal","27133000"
"43","venezuela","26749000"
"44","uzbekistan","26593000"
"45","malaysia","25347000"
"46","saudi arabia","24573000"
"47","republic of       china (taiwan)","22894384[1]"
"48","north korea","22488000"
"49","ghana","22113000"
"50","romania","21711000"
"51","yemen","20975000"
"52","sri       lanka","20743000"
"53","australia","20155000[2]"
"54","mozambique","19792000"
"55","syria","19043000"
"56","madagascar","18606000"
"57","côte d'ivoire","18154000"
"58","cameroon","16322000"
"59","netherlands","16299000"
"60","chile","16295000"
"61","angola","15941000"
"62","kazakhstan","14825000"
"63","cambodia","14071000"
"64","niger","13957000"
"65","mali","13518000"
"66","burkina faso","13228000"
"67","ecuador","13228000"
"68","zimbabwe","13010000"
"69","malawi","12884000"
"70","guatemala","12599000"
"71","zambia","11668000"
"72","senegal","11658000"
"73","cuba","11269000"
"74","greece","11120000"
"75","serbia and       montenegro","10503000"
"76","portugal","10495000"
"77","belgium","10419000"
"78","czech republic","10220000"
"79","tunisia","10102000"
"80","hungary","10098000"
"81","belarus","9755000"
"82","chad","9749000"
"83","guinea","9402000"
"84","bolivia","9182000"
"85","sweden","9041000"
"86","rwanda","9038000"
"87","dominican       republic","8895000"
"88","haiti","8528000"
"89","benin","8439000"
"90","azerbaijan","8411000"
"91","somalia","8228000"
"92","austria","8189000"
"93","bulgaria","7726000"
"94","burundi","7548000"
"95","switzerland","7252000"
"96","honduras","7205000"
"97","{hong kong|prc}","7041000"
"98","el salvador","6881000"
"99","israel","6725000"
"100","tajikistan","6507000"
"101","paraguay","6158000"
"102","togo","6145000"
"103","laos","5924000"
"104","papua new     guinea","5887000"
"105","libya","5853000"
"106","jordan","5703000"
"107","sierra leone","5525000"
"108","nicaragua","5487000"
"109","denmark","5431000"
"110","slovakia","5401000"
"111","kyrgyzstan","5264000"
"112","finland","5249000[3]"
"113","turkmenistan","4833000"
"114","norway","4620000[4]"
"115","croatia","4551000"
"116","united arab       emirates","4496000"
"117","georgia","4474000"
"118","eritrea","4401000"
"119","costa rica","4401000"
"120","singapore","4326000"
"121","moldova","4206000"
"122","republic of       ireland","4148000"
"123","central       african republic","4038000"
"124","new zealand","4028000"
"125","republic of the       congo","3999000"
"126","{puerto rico|us}","3955000"
"127","bosnia and       herzegovina","3907000"
"128","occupied palestinian       territories","3702000"
"129","lebanon","3577000"
"130","uruguay","3463000"
"131","lithuania","3431000"
"132","liberia","3283000"
"133","panama","3232000"
"134","albania","3130000"
"135","mauritania","3069000"
"136","armenia","3016000"
"137","kuwait","2687000"
"138","jamaica","2651000"
