"Offer Nr.","Title","Short characterisation","Advertiser from (country)","Language"
"051127","Wood Processing Machinery","Bulgarian company offers Wood Processing Machinery","Bulgaria","English"
"051125","Offer of handmade wedding end babtism candles","Romanian company offers handmade wedding end babtism candles","Romania","English"
"051031","Children's Entertainment Business Opportunity","Opportunity to run your own business in the children's entertainment market","Great Britain","English"
"051028","Multimedia presentationsweb design3-Danimation","Company from Russia offers multimedia presentations which include 3-D modeling animation music underneath video elements etc.","Russia","English"
"050526","Offer of free production and assembly capacities","Company offers production and assembly capacities in the field of manufacture of metal components","Czech Republic","English"
"050302","Offer of free capacities","Cooperative society offers free capacities in sectors: eletrotechnical and electronic elements small mounting and assembling works in metal wood plastic adjustment glueing packing","Czech Republic","English"
"050204","Angebot f&uuml;r Industrieautomation","Industrieautomatisierungsfirma aus dem Bereich der Automobilzulieferer-Industrie sucht m&ouml;gliche Zusammenarbeit mit anderen Firmen","Czech Republic","Deutsch"
"050126-3","We are looking for dealers in Europe","Trading company is looking for new business partners in Western Europe","Romania","English"
"050126-1","Production of home textiles based on linen cotton","producer of home textiles based on cotton linen and halflinen","Slovak Republic","English"
"050119","Production of beech sawn timber and cheaps","Forest-wood company produces beech sawn timberbeech cheaps parts of chears and basic types of chears","Slovak Republic","English"
"050117-1","Exhibitory/ trade fair stand realisation","Company provides complete service on trade fairs and exhibitions","Slovak Republic","English"
"041220","Machinery for Solid Surface Polymer concrete","Producer offer","Germany","English"
"041202","Biete Ausf&uuml;hrung von Druckauftr&auml;gen","Ausf&uuml;hrung von Druckauftr&auml;gen","Germany","Deutsch"
"041130-4","Selling of honey","Producer offer","Hungary","English"
"041130-3","Lieferung und Montage von Hallen","Lieferangebot","Hungary","Deutsch"
"041130-2","Selling wood briquettes","Producer offer","Hungary","English"
"041130","Selling fresh paprika","Producer offer","Hungary","English"
