"birth place","label","Geburtsort"
"http://dbpedia.org/resource/Zaporizhia","Dmytro Plakhtyr","http://dbpedia.org/resource/Zaporizhia"
"http://dbpedia.org/resource/Bratislava","Dávid Ivan","http://dbpedia.org/resource/Bratislava"
"http://dbpedia.org/resource/New_Jersey","Ed Murphy","http://dbpedia.org/resource/New_Jersey"
"","Eden Stiles","http://dbpedia.org/resource/United_States"
"http://dbpedia.org/resource/Saskatchewan","Evan Neufeldt","http://dbpedia.org/resource/Saskatchewan"
"http://dbpedia.org/resource/Nice","Fabio Quartararo","http://dbpedia.org/resource/Nice"
"http://dbpedia.org/resource/Rotorua","Faith Van Duin","http://dbpedia.org/resource/Rotorua"
"http://dbpedia.org/resource/Monclova","Flyer (wrestler)","http://dbpedia.org/resource/Monclova"
"","Freddie Joe Steinmark",""
"","Gareth Allen",""
"","George Orange","http://dbpedia.org/resource/Yorkshire"
"http://dbpedia.org/resource/Seoul","具聖潤","http://dbpedia.org/resource/Seoul"
"http://dbpedia.org/resource/Jamaica","Heather Foster","http://dbpedia.org/resource/Jamaica"
