"Link from a Wikipage to an external page","Wikipage revision ID","Wikipage page ID","label"
"http://www.conferenceusa.com/sports/m-soccer/c-usa-m-soccer-body.html","680277380","47709388","2006 Conference USA Men's Soccer Tournament"
"","","","2006 Toulon Tournament"
"http://www.conferenceusa.com/sports/m-soccer/c-usa-m-soccer-body.html","679478075","47709849","2007 Conference USA Men's Soccer Tournament"
"","","","2008 AFF女子選手権"
"http://www.conferenceusa.com/sports/m-soccer/c-usa-m-soccer-body.html","680281213","47709940","2008 Conference USA Men's Soccer Tournament"
"http://www.conferenceusa.com/sports/m-soccer/c-usa-m-soccer-body.html","680284928","47710001","2009 Conference USA Men's Soccer Tournament"
"http://www.conferenceusa.com/sports/m-soccer/c-usa-m-soccer-body.html","680392050","47710189","2010 Conference USA Men's Soccer Tournament"
"http://www.conferenceusa.com/sports/m-soccer/c-usa-m-soccer-body.html","680402060","47710483","2013 Conference USA Men's Soccer Tournament"
"http://www.conferenceusa.com/sports/m-soccer/c-usa-m-soccer-body.html","680436443","47710593","2014 Conference USA Men's Soccer Tournament"
"","","","2014 EMF miniEURO"
"","","46876624","2014–15 Nedbank Cup"
"","","","2015 AFC Women's Futsal Championship"
"","","","AMF Futsal World Cup 2015"
"","","","2015 Abierto Tampico"
"","","","2015 Aegon Eastbourne Trophy"
"","","","AEGON Ilkley Trophy 2015"
"","","","AEGON Surbiton Trophy 2015"
"","","45641813","Campeonato de Fútbol Playa de Conmebol 2015"
"","","45647604","Challenger Banque Nationale 2015"
"","","","2015 Coleman Vision Tennis Championships"
