"label","Name","Wikipage revision ID","Wikipage page ID","Latin"
"Mid-fusiform sulcus","Mid-fusiform sulcus","676621961","47545529","sulcus sagittalis gyri fusiformis"
"Anterior olfactory nucleus","","","7014606",""
"Arachnoid mater","","","2811046",""
"Brodmann area 7","","638700562","524257","Area parietalis superior"
"Dorsal nucleus of vagus nerve","","","",""
"Frontal lobe","","682696389","469220",""
"Inferior colliculus","","673519182","1085361",""
"Inferior parietal lobule","","","",""
"Insular cortex","","","",""
"Lateral reticular nucleus","","","9101108",""
"Lateral ventricles","","","1488311",""
"Median raphe nucleus","","","4469226",""
"Medulla oblongata","","682047745","204996",""
"Neurologic music therapy","","650007722","32718903",""
"Nucleus raphe magnus","","","4469227",""
"Pituitary stalk","","","2186043",""
"Reticular activating system","","673436833","1438372",""
"Superior cerebellar peduncle","","","5241330",""
"Superior medullary velum","","","5274201",""
"Superior olivary complex","","","4302005",""
