"Wikipage revision ID","NeuroLexID","Wikipage page ID","NeuroLex","Link from a Wikipage to an external page","label"
"679573285","birnlex_1493","20986178","Limen of insula","http://www.uams.edu/radiology/education/residency/diagnostic/pdf/sylvian_cistern_RSNA2003.pdf","Limen insulae"
"","","5300413","","","Posterior proper fasciculus"
"","","","","","Superior frontal sulcus"
"","","","","","Uncinate fasciculus"
"611191409","","535166","","http://braininfo.rprc.washington.edu/Scripts/ancilcentraldirectory.aspx?ID=1054","Brodmann area 21"
"","","17463872","","","Tractus tegmentalis centralis"
"","","8551565","","","Vagal trigone"
"","","5259818","","","Tela chorioidea of fourth ventricle"
"","","5259779","","","Tela chorioidea of third ventricle"
"616972348","","993486","","http://spot.colorado.edu/~dubin/talks/brodmann/neuronames.html","Brodmann area 4"
"","","3139239","","","Flocculus (cerebellar)"
"","","10824077","","","Hypoglossal trigone"
"","","","","","Medial forebrain bundle"
"","","","","","Olfactory trigone"
"642776523","nifext_120","26847613","Mitral Cell","","Parvocellular red nucleus"
"","","8998006","","","Nucleus ventralis posterior"
"674530925","","2016915","","","Ventrolateral preoptic nucleus"
"","","","","","Angular gyrus"
"","","4084736","","","Falx cerebelli"
"","","2503646","","","Falx cerebri"
