"City","Country","Station","Genre","Stream","Language"
"Andorra","Andorra","RTV SA","General","Home","Spanish"
"Buenes Aries","Argentina","Channel 26","News","Home","Spanish"
"Buenos Aires","Argentina","America TV","General","Home","Spanish"
"Buenos Aires","Argentina","Canal 9","General","Home","Spanish"
"Buenos Aires","Argentina","Canal Luz","General","Home","Spanish"
"Buenos Aires","Argentina","CVN","General","Home","Spanish"
"Buenos Aires","Argentina","Tn 24 horas","News","Home","Spanish"
"Santiago","Chile","Canal 13","General","Home","Spanish"
"Santiago","Chile","Chilevision","General","Home","Spanish"
"Santiago","Chile","TV Nacional Chile","General","Home","Spanish"
"San Jose","Costa Rica","Teletica 7","News","Home","Spanish"
"Havana","Cuba","Cubasi","News","Home","Spanish"
"nto Domingo","Dominican Rep","CDN","General","Home","Spanish"
"Mexico","Mexico","Teleformula","News &amp; Talk","Home","Spanish"
"Mexico","Mexico","Videorola","Pop Music","Home","Spanish"
"Nicaragua","Nicaragua","100 Noticias","News &amp; Talk","Home","Spanish"
"Aruba","Other","Telearuba Live","News &amp; Talk","Home","Spanish"
"Lima","Peru","Frequencia Latina","General","Home","Spanish"
"Galicia","Spain","CRTVG","General","Home","Spanish"
"Madrid","Spain","Canalsur","News","Home","Spanish"
"Madrid","Spain","Euronews","News","Home","Spanish"
"Madrid","Spain","Telecinco","News","Home","Spanish"
"Madrid","Spain","Televisi?n de Galicia","News","Home","Spanish"
"Montevideo","Uruguay","Teledoce","General","Home","Spanish"
"Miami","USA","OCB","News &amp; Talk","Home","Spanish"
"Caracas","Venezuela","Globovision","General","Home","Spanish"
"Caracas","Venezuela","RCTV","General","Home","Spanish"
