"body            of water","alternate name","location"
"alder pond","&nbsp;","alder brook twp."
"attean pond","&nbsp;","attean twp."
"austin pond","&nbsp;","bald            mountain twp"
"austin pond","&nbsp;","t05 r17 wels"
"austin pond (little)","&nbsp;","bald mountain twp"
"baker lake","&nbsp;","t07 r17 wels"
"baker pond","&nbsp;","solon"
"baker pond","&nbsp;","caratunk"
"baker pond","&nbsp;","moxie gore"
"baker pond","&nbsp;","t05            r06 bkp wkr"
"baker pond","&nbsp;","solon"
"bald mountain pond","&nbsp;","bald            mountain twp"
"barker pond","&nbsp;","cornville"
"barrett pond","&nbsp;","holeb twp"
"bartley pond (big)","&nbsp;","holeb twp"
"basin pond","&nbsp;","pierce            pond twp"
"beans pond","bean pond","pleasant            ridge plt."
"beck pond","&nbsp;","t03            r05 bkp wkr"
"berry pond (little)","&nbsp;","johnson mountain"
"bill morris pond","&nbsp;","t03 r05 bkp wkr"
"black brook pond","&nbsp;","moxie gore"
"black brook pond","&nbsp;","pierce pond twp"
"black hill pond","&nbsp;","embden"
"blakeslee lake","&nbsp;","t05            r06 bkp wkr"
"bob's pond","&nbsp;","t04            r17 wels"
"brassua lake","&nbsp;","rockwood strip-east"
"butler pond","&nbsp;","king            and bartlett twp."
"butler pond","&nbsp;","lexington            twp."
"cambridge pond","&nbsp;","cambridge"
"canada falls lake","&nbsp;","pittston academy grant"
"carry pond (east)","&nbsp;","carrying place twp"
"carry pond (middle)","&nbsp;","carrying place twp"
"carry pond (west)","&nbsp;","carrying            place twp"
"center pond","&nbsp;","soldiertown twp"
"chase pond","&nbsp;","solon"
"chase pond","&nbsp;","moscow"
"chase stream pond","&nbsp;","misery twp"
"chase stream pond (little)","&nbsp;","misery twp"
"cheney pond","&nbsp;","hammond twp"
"chub pond","&nbsp;","hobbstown twp"
"clear pond","mill            pond","pleasant            ridge plt."
"clearwater pond","&nbsp;","attean twp"
"clish pond","&nbsp;","t05 r20 wels"
"cold stream pond","&nbsp;","parlin pond twp"
"crocker pond","&nbsp;","dennistown plt"
"cunningham pond","&nbsp;","pittston academy grant"
"daymond pond","&nbsp;","moose river"
"dead stream pond","&nbsp;","west            forks plt"
"deer pond","&nbsp;","king            and bartlett twp."
"demo pond","&nbsp;","rockwood strip-west"
"desolation pond","&nbsp;","t08            r16 wels"
"dimmick pond (big)","&nbsp;","caratunk"
"dimmick pond (little)","&nbsp;","caratunk"
"dimmick pond","mountain pond","caratunk"
"dingley pond","&nbsp;","t04 r05 nbkp"
"dingley pond (little)","&nbsp;","t04 r05 nbkp"
"dingley pond (upper)","&nbsp;","t04 r05 nbkp"
"dixon pond","&nbsp;","pierce            pond twp"
"dole pond","&nbsp;","dole brook twp"
"dority pond","&nbsp;","hammond twp"
"dubois pond","&nbsp;","prentiss twp"
"duncan pond","&nbsp;","prentiss twp"
"durgin pond","&nbsp;","johnson mountain"
"east pond","&nbsp;","smithfield"
"ellis pond","&nbsp;","chase            stream twp"
"embden pond","&nbsp;","embden"
"enchanted pond","&nbsp;","upper enchanted twp"
"enchanted pond (little)","&nbsp;","upper enchanted twp"
"everett pond","&nbsp;","king            and bartlett twp"
"fahi pond","&nbsp;","embden"
"felker pond","&nbsp;","king            and bartlett twp"
"fernald pond","&nbsp;","pierce pond twp"
"fish pond","&nbsp;","thorndike twp"
"fish pond","&nbsp;","moxie            gore"
"fish pond (big)","&nbsp;","holeb twp"
"fish pond (little)","&nbsp;","holeb twp"
"fish pond (little)","&nbsp;","alder brook twp"
"fisher pond","&nbsp;","t04 r05 nbkp"
"flagstaff lake","dead            river flowage","flaggstaff            twp"
"fogg pond","&nbsp;","long pond twp"
"foley pond","&nbsp;","comstock twp"
"foley pond #1 (little)","&nbsp;","t04 r18 twp"
"frost pond","&nbsp;","t04 r05 nbkp"
"frypan pond","&nbsp;","squaretown            twp"
