"Wikipage revision ID","Link from a Wikipage to an external page","label","Wikipage page ID"
"680604407","http://1ua.com.ua/c24848","Stara Sil","47767478"
"683393385","","Starrkärr Church","46599737"
"661963173","http://www.mmwec.org/stony-brook.html","Stony Brook Power Plant","46674699"
"","","Strauss Museum",""
"","","Sublimotion","46302846"
"","","Sudbury Tool Library",""
"675409685","http://www.yucatan.gob.mx/estado/municipios/31009a.htm#","Sudzal (municipio)","46887756"
"663153339","http://cityofmhk.com/299/Cemeteries","Sunset Cemetery","46411517"
"679580732","http://www.espncricinfo.com/india/content/ground/57968.html","Sunshine Ground","47727850"
"678728535","","Surte Church","46590692"
