"BC","Link from a Wikipage to an external page","Wikipage page ID","label","Wikipage revision ID"
"#ACE1AF","http://www.combinedcountiesleague.co.uk/","46597071","2015–16 Combined Counties Football League","683954885"
"","http://www.soccerbase.com/results2.sd?teamid=621","46613507","2015–16 Coventry City F.C. season","683948429"
"","http://prvahnl.hr/","46778880","1. HNL 2015/16","683971148"
"","http://www.druga-hnl.com","46883961","Druga hrvatska nogometna liga 2015-2016","683020128"
"","http://www.synotliga.cz/","46923623","Synot Liga 2015/16","683005451"
"","http://www.youtube.com/channel/UCuxiacueNMDlnjIaqwzRh8A","47665199","2015–16 Division 1 Féminine","683139854"
"","http://www.ecupirates.com/sports/w-baskbl/ecu-w-baskbl-body.html","47716968","2015–16 East Carolina Pirates women's basketball team","682032062"
"","http://www.eintracht.com/","46833825","2015–16 Eintracht Braunschweig season","682435797"
"","http://www.eintracht.de/english/news/","46778561","2015–16 Eintracht Frankfurt season","683950320"
"","http://www.ekstraklasa.org/","46918853","Ekstraklasa 2015/16","683982914"
"","http://www.eredivisie.nl/","46433881","Eredivisie 2015/16","683339355"
"","http://fananji.com/","46940187","2015–16 FC Anzhi Makhachkala season","683600834"
"","http://www.fcbarcelona.com/en","46735387","Saison 2015-2016 du FC Barcelone","683982468"
"","http://www.fcdynamo.kiev.ua/","47383049","2015–16 FC Dynamo Kyiv season","683124919"
"","http://www.fc-sheriff.com/en/komanda/","47317350","ФК «Шериф» в сезоне 2015/2016","683158376"
"","http://fc-terek.ru/","47304725","2015–16 FC Terek Grozny season","683126449"
"","http://www.qarabagh.com/","46889672","2015–16 FK Qarabağ season","683672248"
"","http://www.galatasaray.org","46846791","2015–16 Galatasaray S.K. season","683980790"
"","http://www.gimnasticdetarragona.com/cat2/es/","46857941","2015–16 Gimnàstic de Tarragona season","682192091"
"#D0F0C0","http://www.lnphn.com/","47030768","Torneo Apertura 2015 (Honduras)","683613388"
