"number","fell name","height (ft)","area","1st ascent","total ascents"
"1","scafell pike","3210","southern","&nbsp;","0"
"2","scafell&nbsp;","3162","southern","&nbsp;","0"
"3","helvellyn","3118","eastern","29 april 2007","1"
"4","skiddaw","3053","northern","10 september 2006","2"
"5","great end","2984","southern","&nbsp;","0"
"6","bowfell","2960","southern","13 august 2003","1"
"7","great gable","2949","western","&nbsp;","0"
"8","pillar","2927","western","&nbsp;","0"
"9","nethermost pike","2920","eastern","29 april 2007","1"
"10","catstycam","2917","eastern","04 july 2005","2"
"11","esk pike","2904","southern","&nbsp;","0"
"12","raise","2889","eastern","02 january 2006","2"
"13","fairfield","2863","eastern","19 august 2007","1"
"14","blencathra","2847","northern","07 january 2007","4"
"15","skiddaw little man","2837","northern","10 september 2006","1"
"16","white side","2832","eastern","02 january 2006","2"
"17","crinkle crags - long top","2816","southern","17 april 2008","1"
"18","dollywagon pike","2810","eastern","29 april 2007","1"
"19","great dodd","2807","eastern","09 december 2006","3"
"20","grasmoor","2791","north western","&nbsp;","0"
"21","stybarrow dodd","2770","eastern","09 december 2006","4"
"22","scoat fell","2760","western","&nbsp;","0"
"23","saint sunday crag","2756","eastern","26 may 2007","1"
"24","eel crag (crag hill)","2749","north western","&nbsp;","0"
"25","high street","2718","far eastern","15 july 2007","1"
"26","red pike (wasdale)","2707","western","&nbsp;","0"
"27","hart crag","2698","eastern","09 june 2007","1"
"28","steeple","2687","western","&nbsp;","0"
"29","lingmell","2649","southern","&nbsp;","0"
"30","high stile","2644","western","&nbsp;","0"
"31","high raise (martindale)","2644","far eastern","26 august 2007","1"
"32","coniston old man","2633","southern","14 april 2008","1"
"33","swirl how","2630","southern","16 april 2008","1"
"34","kirk fell","2630","western","&nbsp;","0"
"35","haycock","2618","western","&nbsp;","0"
"36","brim fell","2611","southern","14 april 2008","1"
"37","green gable","2603","western","&nbsp;","0"
"38","dove crag","2603","eastern","09 june 2007","1"
"39","grisedale pike","2593","north western","16 december 2006","1"
"40","watson&#39;s dodd","2584","eastern","09 december 2006","3"
"41","rampsgill head","2581","far eastern","26 august 2007","1"
"42","great carrs","2575","southern","16 april 2008","1"
"43","allen crags","2572","southern","14 may 2006","2"
"44","thornthwaite crag","2569","far eastern","15 july 2007","1"
"45","glaramara","2560","southern","14 may 2006","2"
"46","kidsty pike","2560","far eastern","26 august 2007","1"
"47","dow crag","2555","southern","14 april 2008","1"
"48","red screes","2541","eastern","16 june 2007","1"
"49","harter fell (mardale)","2539","far eastern","&nbsp;","0"
"50","grey friar","2536","southern","16 april 2008","1"
"51","wandope","2533","north western","&nbsp;","0"
"52","sail","2530","north western","10 may 2008","1"
"53","hopegill head","2525","north western","17 may 2008","1"
"54","great rigg","2513","eastern","03 june 2007","1"
"55","caudale moor","2502","far eastern","&nbsp;","0"
"56","wetherlam","2502","southern","24 march 2008","1"
"57","high raise (langdale)","2500","central","12 august 2003","1"
"58","slight side","2499","southern","&nbsp;","0"
"59","mardale ill bell","2496","far eastern","15 july 2007","1"
"60","hart side","2481","eastern","09 december 2006","3"
"61","red pike ( buttermere)","2479","western","&nbsp;","0"
"62","ill bell","2476","far eastern","&nbsp;","0"
"63","dale head","2473","north western","&nbsp;","0"
"64","high crag","2443","western","&nbsp;","0"
"65","knott the","2423","far eastern","26 august 2007","1"
"66","carl side","2420","northern","15 april 2007","2"
"67","robinson","2417","north western","&nbsp;","0"
"68","seat sandal","2415","eastern","26 may 2007","1"
"69","sergeant man","2414","central","12 august 2003","1"
"70","long side","2408","northern","15 april 2007","2"
"71","harrison stickle","2403","central","12 august 2003","1"
"72","kentmere pike","2397","far eastern","&nbsp;","0"
"73","hindscarth","2385","north western","&nbsp;","0"
"74","clough head","2381","eastern","05 may 2007","1"
"75","ullscarf","2370","central","30 november 2008","1"
"76","froswick","2359","far eastern","&nbsp;","0"
"77","thunacar knott","2351","central","12 august 2003","1"
"78","birkhouse moor","2350","eastern","04 july 2005","4"
"79","lonscale fell","2344","northern","24 march 2007","1"
"80","brandreth","2344","western","&nbsp;","0"
"81","branstree","2333","far eastern","30 august 2007","1"
"82","knott","2329","northern","25 february 2007","1"
"83","pike o&#39;stickle","2323","central","30 march 2008","1"
"84","whiteside","2317","north western","17 may 2008","1"
"85","yoke","2309","far eastern","&nbsp;","0"
"86","bowscale fell","2306","northern","07 january 2007","2"
"87","pike o&#39; blisco","2304","southern","05 october 2008","1"
"88","pavey ark","2288","central","12 august 2003","1"
"89","caw fell","2288","western","&nbsp;","0"
"90","grey knotts","2287","western","&nbsp;","0"
"91","gray crag","2286","far eastern","15 july 2007","1"
"92","rest dodd","2278","far eastern","03 august 2007","1"
"93","loft crag","2270","central","30 march 2008","1"
"94","seatallan","2266","western","&nbsp;","0"
"95","great calva","2265","northern","25 february 2007","1"
"96","cold pike","2259","southern","17 april 2008","1"
"97","sheffield pike","2232","eastern","12 may 2007","1"
"98","bannerdale crags","2230","northern","07 january 2007","1"
"99","ullock pike","2230","northern","15 april 2007","2"
"100","wether hill","2210","far eastern","26 august 2007","1"
"101","scar crags","2205","north western","10 may 2008","1"
"102","loadpot hill","2201","far eastern","22 september 2007","1"
"103","bakestall","2189","northern","24 march 2007","1"
"104","tarn crag (longsleddale)","2176","far eastern","&nbsp;","0"
"105","carrock fell","2174","northern","25 february 2007","1"
"106","whiteless pike","2159","north western","&nbsp;","0"
"107","high pike (caldbeck)","2157","northern","25 february 2007","2"
"108","high pike (scandale)","2155","eastern","19 august 2007","1"
"109","place fell","2154","far eastern","10 august 2007","1"
"110","high spy","2143","north western","13 may 2006","3"
"111","selside pike","2142","far eastern","30 august 2007","1"
"112","harter fell (eskdale)","2140","southern","&nbsp;","0"
"113","great scafell","2131","northern","09 april 2007","1"
"114","fleetwith pike","2126","western","&nbsp;","0"
"115","base brown","2120","western","&nbsp;","0"
"116","middle dodd","2106","eastern","16 june 2007","1"
"117","rossett pike","2106","southern","&nbsp;","0"
"118","grey crag","2093","far eastern","&nbsp;","0"
"119","little hart crag","2091","eastern","09 june 2007","1"
"120","starling dodd","2085","western","&nbsp;","0"
"121","mungrisdale common","2068","northern","28 july 2007","1"
"122","yewbarrow","2058","western","&nbsp;","0"
"123","birks","2040","eastern","26 may 2007","1"
"124","causey pike","2035","north western","10 may 2008","1"
"125","great borne","2019","western","&nbsp;","0"
"126","hartsop dodd","2018","far eastern","&nbsp;","0"
"127","heron pike","2003","eastern","03 june 2007","1"
"128","high seat","1995","central","01 july 2007","1"
"129","illgill head","1983","southern","16 february 2008","1"
"130","seathwaite fell","1970","southern","21 february 2009","1"
"131","bleaberry fell","1932","central","01 july 2007","1"
"132","shipman knotts","1926","far eastern","&nbsp;","0"
"133","brae fell","1920","northern","09 april 2007","1"
"134","middle fell&nbsp;","1908","western","&nbsp;","0"
"135","haystacks","1900","western","&nbsp;","0"
"136","nab the","1887","far eastern","03 august 2007","1"
"137","maiden moor","1887","north western","13 may 2006","3"
"138","blake fell","1878","western","&nbsp;","0"
"139","sergeant&#39;s crag","1873","central","&nbsp;","0"
"140","hartsop above how","1870","eastern","09 june 2007","1"
"141","outerside","1863","north western","10 may 2008","1"
"142","ard crags","1860","north western","17 august 2008","1"
"143","angletarn pikes","1857","far eastern","05 june 2004","2"
"144","brock crags","1842","far eastern","25 august 2007","2"
"145","steel fell","1811","central","08 july 2007","1"
"146","lord&#39;s seat","1811","north western","10 march 2007","2"
"147","rosthwaite fell","1807","southern","16 march 2008","1"
"148","hard knott","1803","southern","&nbsp;","0"
"149","tarn crag (easedale)","1801","central","04 november 2007","1"
"150","knott rigg","1790","north western","17 august 2008","1"
"151","blea rigg","1776","central","04 november 2007","2"
"152","lank rigg","1775","western","&nbsp;","0"
"153","meal fell","1770","northern","09 april 2007","1"
"154","calf crag","1762","central","30 april 2005","1"
"155","great mell fell","1760","eastern","09 august 2007","1"
"156","whin rigg","1755","southern","16 february 2008","1"
"157","arthur&#39;s pike","1747","far eastern","22 september 2007","1"
"158","great cockup","1720","northern","09 april 2007","1"
"159","gavel fell","1720","western","&nbsp;","0"
"160","bonscale pike","1718","far eastern","22 september 2007","1"
"161","crag fell","1710","western","&nbsp;","0"
"162","high hartsop dodd","1702","eastern","09 june 2007","1"
"163","whinlatter","1696","north western","21 march 2008","1"
"164","sallows","1691","far eastern","&nbsp;","0"
"165","souther fell","1680","northern","07 january 2007","1"
"166","mell break","1676","western","&nbsp;","0"
"167","broom fell&nbsp;","1670","north western","10 march 2007","2"
"168","high tove","1665","central","14 october 2007","1"
"169","beda fell","1664","far eastern","25 august 2007","1"
"170","hen comb","1661","western","7 march 2009","1"
"171","low pike","1657","eastern","19 august 2007","1"
"172","little mell fell","1657","eastern","09 august 2007","1"
"173","stone arthur","1652","eastern","03 june 2007","1"
"174","eagle crag","1650","central","&nbsp;","0"
"175","dodd","1612","northern","15 april 2007","1"
"176","green crag","1602","southern","&nbsp;","0"
"177","wansfell","1597","far eastern","01 september 2007","1"
"178","grike","1596","western","&nbsp;","0"
"179","longlands fell","1580","northern","09 april 2007","1"
"180","burnbank fell","1580","western","&nbsp;","0"
"181","gowbarrow fell","1579","eastern","22 april 2007","3"
"182","armboth fell","1570","central","14 october 2007","1"
"183","sour howes","1568","far eastern","&nbsp;","0"
"184","barf","1536","north western","10 march 2007","1"
"185","lingmoor fell","1530","southern","10 february 2008","2"
"186","raven crag","1520","central","11 august 2007","1"
"187","great crag","1500","central","13 july 2008","1"
"188","barrow","1494","north western","10 may 2008","1"
"189","catbells","1481","north western","13 may 2006","1"
"190","graystones","1476","north western","21 march 2008","1"
"191","binsey","1466","northern","22 july 2007","1"
"192","nab scar","1450","eastern","19 august 2007","1"
"193","glenridding dodd","1425","eastern","12 may 2007","1"
"194","arnison crag","1424","eastern","26 may 2007","1"
"195","steel knotts","1414","far eastern","26 august 2007","1"
"196","buckbarrow","1410","western","&nbsp;","0"
"197","gibson knott","1379","central","30 april 2005","1"
"198","fellbarrow","1363","western","18 may 2008","1"
"199","grange fell","1363","central","13 july 2008","1"
"200","low fell","1360","western","18 may 2008","1"
"201","helm crag","1299","central","30 april 2005","1"
"202","silver how","1292","central","04 november 2007","2"
"203","hallin fell","1271","far eastern","10 august 2007","1"
"204","walla crag","1234","central","01 july 2007","2"
"205","ling fell","1224","north western","15 february 2008","1"
"206","latrigg","1203","northern","03 march 2007","1"
"207","troutbeck tongue","1191","far eastern","&nbsp;","0"
"208","sale fell","1170","north western","15 february 2008","1"
"209","high rigg","1163","central","12 august 2007","1"
"210","rannerdale knotts","1160","north western","16 may 2008","1"
"211","loughrigg fell","1101","central","11 november 2007","1"
"212","black fell","1056","southern","10 november 2007","1"
"213","holme fell","1040","southern","24 february 2008","1"
"214","castle crag","985","north western","&nbsp;","0"
