"Wikipage revision ID","mission duration","mission type","label","Wikipage page ID","satellite of","power"
"682285544","3.471336E8","http://dbpedia.org/resource/Asteroid","Jupiter and Trojan Asteroid Explorer","47631554","http://dbpedia.org/resource/Jupiter_trojan","http://dbpedia.org/resource/Solar_sail"
"","","","BepiColombo","","",""
"681279961","","","Evolved Laser Interferometer Space Antenna","364369","",""
"","","","EXPRESS Logistics Carrier","","",""
"","","","Genesis (spacecraft)","","",""
"673164597","","","Gravity Recovery and Interior Laboratory","9274203","",""
"","","","LEO (Raumsonde)","","",""
"","","","Living Interplanetary Flight Experiment","","",""
"","","","Mars Polar Lander","","",""
"","","","Red Dragon (sonde spatiale)","","",""
"614999678","","","Antares A-ONE","38827896","",""
"672890607","","","Intermediate eXperimental Vehicle","4410085","",""
"678593598","","","Venera 13","1324859","",""
"647088400","","Technology demonstrator","Demonstration and Science Experiments","18626391","",""
"667345378","","","Bangabandhu-1","36403263","",""
"614664743","","","UNIFORM-1","42864297","",""
"681621268","","","M3MSat","40679392","",""
"681922307","","","MELOS","37359125","",""
"","","","WIND (spacecraft)","","",""
"643315462","","","Zond 3","186810","",""
