"c","s","NULL","college or university","center office or program","city state"
"NULL","NULL","NULL","a","NULL","NULL"
"NULL","NULL","","adrian college","office of student activities","adrian mi"
"NULL","NULL","","albuquerque tvi community college","service learning program","albuquerque nm"
"","","","alma college","service learning program","alma mi"
"NULL","NULL","","alvernia college","community service program","reading pa"
"NULL","NULL","","american assoc.of colleges for teacher education","service-learning and teacher education project","washington d.c."
"NULL","NULL","","american association of community colleges","service learning clearinghouse","washington d.c."
"NULL","NULL","","american association of community colleges","service learning project &amp; colleges","washington d.c."
"NULL","NULL","","american university","community service learning program","washington d.c."
"NULL","NULL","","american university","project pen (providing educational needs)","washington d.c."
"","NULL","","appalachian state university","appalachian and the community together (act)","boone nc"
"","NULL","","arizona state university","service learning program","tempe az"
"NULL","NULL","","ashland university","office of community service","ashland oh"
"NULL","NULL","","auburn university--school of pharmacy","pharmacy practice experience program","auburn al"
"NULL","NULL","","augsburg college","center for service work and learning","minneapolis mn"
"NULL","NULL","","augustana college","teagle service-learning grant","sioux falls sd"
"","NULL","","azusa pacific university","office of community service learning","azusa ca"
"NULL","NULL","NULL","b","NULL","NULL"
"NULL","NULL","","baldwin-wallace college","office of community outreach","berea oh"
"NULL","NULL","","ball state university","office of leadership and service programs","muncie in"
"NULL","NULL","","barry university","academy for better communities","miami fl"
"NULL","NULL","","barstow college","NULL","barstow ca"
"NULL","NULL","","bates college","center for service-learning","lewiston me"
"NULL","NULL","","belmont university","service learning task force","nashville tn"
"NULL","NULL","","bentley college","service-learning center","waltham ma"
"NULL","NULL","","bethel college","service-learning at bethel","saint paul mn"
"NULL","NULL","","binghamton university (suny)","experiential education advisory committee","binghamton ny"
"NULL","NULL","","birmingham-southern college","hess center for leadership and service","birmingham al"
"","","","bloomsburg university of pennsylvania","solve","bloomsburg pa"
"","NULL","","boston college","pulse program","chestnut hill ma"
"NULL","","","bowdoin college","community service resource center","brunswick me"
"NULL","NULL","","bowling green state university","literacy learn and serve","bowling green oh"
"NULL","NULL","","brevard community college","center for service-learning","cocoa fl"
"NULL","NULL","","bridgewater college","service-learning center","bridgewater va"
"NULL","NULL","","brigham young university","jacobsen center for service and learning","provo ut"
