"Country/Organization","Currency","Total stock (in $)"
"Venezuela","NULL","$79.91 billion"
"Syria","NULL","$73.54 billion"
"Hong Kong","NULL","$63.03 billion"
"Algeria","NULL","$60.91 billion"
"Turkey","NULL","$53.25 billion"
"Singapore","NULL","$52.57 billion"
"Malaysia","NULL","$51.51 billion"
"South Africa","NULL","$44.66 billion"
"Indonesia","NULL","$41.71 billion"
"Nigeria","NULL","$35.29 billion"
"Hungary","NULL","$32.78 billion"
"Egypt","NULL","$31.72 billion"
"Ukraine","NULL","$29.24 billion"
"Thailand","NULL","$28.76 billion"
