"順位","氏名","所属","記録"
"1","suzukitakafum","jpn","5m50"
"&#160;","鈴木　崇文","&#160;","&#160;"
"2","quillerrory","usa","5m40"
"&#160;","ﾛﾘｰ･ｸｲﾗｰ","&#160;","&#160;"
"3","ogitahiroki","jpn","5m40"
"&#160;","荻田　大樹","&#160;","&#160;"
"4","milesderek","usa","5m30"
"&#160;","ﾃﾞﾚｸ･ﾏｲﾙｽﾞ","&#160;","&#160;"
"4","scottjeremy","usa","5m30"
"&#160;","ｼﾞｪﾚﾐｰ･ｽｺｯﾄ","&#160;","&#160;"
"6","nagatajunya","jpn","5m20"
"&#160;","永田　純也","&#160;","&#160;"
"7","sasasehiroki","jpn","5m20"
"&#160;","笹瀬　弘樹","&#160;","&#160;"
"-","sawanodaichi","jpn","nm"
"&#160;","澤野&#160; 大地","&#160;","&#160;"
