"名稱","成交","漲跌","漲%","時間"
"巴克萊整合債_agg","110.92","0.17","0.15","04:00"
"vanguard短債_bsv","81.08","0.05","0.06","04:15"
"巴克萊短債_shv","110.21","0.01","0.01","04:00"
"巴克萊1-3信用_csj","104.45","-0.07","-0.07","04:00"
"巴克萊1-3年債_shy","84.43","0.04","0.05","04:00"
"巴克萊7-10年債_ief","107.2","0.31","0.29","04:00"
"巴克萊中期信用ciu","108.73","0.23","0.21","04:15"
"巴克萊20+年債tlt","123.4","0.46","0.37","04:28"
"巴克萊tips_tip","120.38","0.11","0.09","04:17"
"巴克萊mbs_mbb","108.42","0.07","0.06","03:59"
"iboxx投資級_lqd","115.88","0.29","0.25","04:00"
"巴克萊高收益_jnk","38.39","-0.05","-0.13","04:44"
"iboxx高收益hyg","88.14","-0.28","-0.32","04:44"
"歐元etf_fxe","124.48","-0.2","-0.16","06:02"
"智慧樹巴西幣_bzf","18.83","0.33","1.78","03:59"
