"country name(click for destination guides)","capital city","geographic info(click for info)"
"cambodia","phnom penh","geography of cambodia"
"cameroon","yaounde","geography of cameroon"
"canada","ottawa","geography of canada"
"capeverde","praia","geography of cape verde"
"caymanislands","george town","geography of cayman islands"
"centralafrican republic","bangui","geography of centralafrican republic"
"chad","n'djamena","geography of chad"
"chile","santiago","geography of chile"
"china","beijing","geography of china"
"christmasisland","the settlement","geography of christmasisland"
"clippertonisland","none","geography of clippertonisland"
"cocos(keeling) islands","west island","geography of cocos(keeling) islands"
"colombia","bogota","geography of colombia"
"comoros","moroni","geography of comoros"
"congodemocratic republic of the","kinshasa","geographyof democratic republic of the congo"
"congorepublic of the","brazzaville","geography of republicof the congo"
"cookislands","avarua","geography of cook islands"
"coralsea islands","none","geography of coral seaislands"
"costarica","san jose","geography of costa rica"
"coted'ivoire","yamoussoukro","geography of cote d'ivoire(ivory coast)"
"croatia","zagreb","geography of croatia"
"cuba","havana","geography of cuba"
"cyprus","nicosia","geography of cyprus"
"czechrepublic","prague","geography of czech republic"
