"Common&nbsp;name","Language","Location","PIER&nbsp;bibliographic&nbsp;reference","Comments"
"barca de San Pedro","Spanish","Gal&aacute;pagos Islands","Charles Darwin Foundation (2008)","&nbsp;"
"barquito de San Pedro","Spanish","Gal&aacute;pagos Islands","Charles Darwin Foundation (2008)","&nbsp;"
"boat lily","English","?","U.S. Dept. Agr. Agr. Res. Serv. (2010)","&nbsp;"
"fain&#257;","Tongan","Tonga Islands","Whistler W. A. (1991)&nbsp;(p.&nbsp;26)","&nbsp;"
"fain&#257; fa&#145;itoka","Tongan","Niuatoputapu Island","Whistler W. A. (1991)&nbsp;(p.&nbsp;26)","&nbsp;"
"fain&#257; kula","Tongan","Tonga Islands","Whistler W. A. (1991)&nbsp;(p.&nbsp;26)","&nbsp;"
"ki&#246;p","Marshallese","Arno Atoll","Bishop Museum (Honolulu) (1950)","&nbsp;"
"kobesos","Palauan","Palau Islands (main island group)","Fosberg F. R./Otobed D./Sachet M.-H./Oliver R. L./Powell D. A./Canfield J. E. (1980)&nbsp;(p.&nbsp;12)","&nbsp;"
"laupapaki","Niuean","Niue Island","Sykes W. R. (1970)&nbsp;(p.&nbsp;225)","&nbsp;"
"Mo&#239;se dans les jonc","French","?","Lavergne Christophe (2006)","&nbsp;"
"Moses in a boat","English","?","Smith Albert C. (1979)&nbsp;(p.&nbsp;281)","&nbsp;"
"oyster plant","English","?","Whistler W. A./Steele O. (1999)&nbsp;(p.&nbsp;104)","&nbsp;"
"plante huitre","French","?","Lavergne Christophe (2006)","&nbsp;"
"rho&#233;","French","?","Lavergne Christophe (2006)","&nbsp;"
"rhoeo","English","?","Whistler W. A. (2000)&nbsp;(p.&nbsp;466)","&nbsp;"
"riri","Maori (Cook Islands)","Rarotonga Island","McCormack Gerald (2011)","&nbsp;"
"riri katikati","Rakahanga-Manihiki","Manihiki Atoll","McCormack Gerald (2011)","&nbsp;"
"riri mangio","Maori (Cook Islands)","Ma&#145;uke Island","McCormack Gerald (2011)","&nbsp;"
"riri vareau","Maori (Cook Islands)","Aitutaki Atoll","McCormack Gerald (2011)","&nbsp;"
"riri vareau","Rakahanga-Manihiki","Rakahanga Atoll","McCormack Gerald (2011)","&nbsp;"
"talotalo","Niuean","Niue Island","Sykes W. R. (1970)&nbsp;(p.&nbsp;225)","?"
"te ruru ni","I-Kiribati","Kiribati (Republic of)","Thaman R. R. (1987)&nbsp;(p.&nbsp;34)","&nbsp;"
"tradescantia","English","?","Thaman R. R./Fosberg F. R./Manner H. I./Hassall D. C. (1994)&nbsp;(p.&nbsp;48)","&nbsp;"
"zi bei wan nian qing","Chinese","?","Zhengyi Wu/Raven Peter H./Deyuan Hong (2011)","&nbsp;"
