"NULL","2010","2010"
"8","&nbsp;","{Guanghong Zuo|Zhao Xu|Hongjie Yu|Genomics Proteomics &amp; Bioinformatics 8}"
"NULL","2009","2009"
"7","&nbsp;","{Zhao Xu|Nucleic Acids Research 37}"
"NULL","2007","2007"
"6","&nbsp;","Bailin Hao:Combinatorics from Bacterial Genomes.COCOA 2007: 3"
"NULL","2005","2005"
"5","&nbsp;","{Heng Li|Jin-Song Liu|Zhao Xu|Jiao Jin|Lin Fang|Lei Gao|Yu-Dong Li|Zi-Xing Xing|Shao-Gen Gao|Tao Liu|Hai-Hong Li|Yan Li|Li-Jun Fang|Hui-Min Xie|Wei-Mou Zheng|J. Comput. Sci. Technol. 20}"
"NULL","2004","2004"
"4","&nbsp;","{Ji Qi|Hong Luo|Nucleic Acids Research 32}"
"NULL","2003","2003"
"3","&nbsp;","{Ji Qi|CSB 2003}"
"NULL","2002","2002"
"2","&nbsp;","{Huimin Xie|CSB 2002}"
"1","&nbsp;","Bailin Hao:spatial-Temporal Patterns in Prokaryote genomes.I. J. Bifurcation and Chaos 12(11): 2625-2630 (2002)"
