"date","nobel prize investigator(s)","chemical research for                        the nobel prize"
"2004","aaron ciechanover avram hershko irwin rose","discovery of ubiquitin-mediated protein degradation"
"2003","peter agre roderick mackinnon","ddiscovery of water channels and structural and mechanistic                        studies of ion channels"
"2002","john b. fenn koichi tanaka kurt w�thrich","development of methods for identification and structure                        analyses of biological macromolecules"
"2001","william s. knowles &amp; ryoji noyori k. barry sharpless","work on chirally catalysed hydrogenation reactions                        and work on chirally catalysed oxidation reactions and"
"2000","alan heeger alan g. macdiarmid hideki shirakawa","discovery and development of conductive polymers"
"1999","ahmed zewail","studies of the transition states of chemical reactions                        using femtosecond spectroscopy"
"1998","walter kohn john pople","development of the density-functional theory and development                        of computational methods in quantum chemistry"
"1997","jens c. skou paul d. boyer john e. walker","discovery of sodium-potassium-activated adenosine triphosphatase                        and explanation of the enzymatic conversion of adenosine                        triphosphate and"
"1996","robert f. curl jr. sir harold kroto richard e. smalley","discovery of new carbon compounds called fullerenes"
"1995","paul j. crutzen mario j. molina f. sherwood rowland","explanation of processes that deplete earth's ozone                        layer"
"1994","george a. olah","development of techniques to study hydrocarbon molecules"
"1993","kary b. mullis michael smith","inventors of techniques for gene study and manipulation"
"1992","rudolph a. marcus","explanation of how electrons transfer between molecules"
"1991","richard r. ernst","improvements in nuclear magnetic resonance spectroscopy"
"1990","elias james corey","development of retrosynthetic analysis for synthesis                        of complex molecules"
"1989","sidney altman thomas r. cech","discovery of certain basic properties of rna"
"1988","johann deisenhofer robert huber hartmut michel","discovery of structure of proteins needed in photosynthesis"
"1987","donald j. cram jean-marie lehn &amp; charles j. pedersen","development of molecules that can link with other molecules                        and development of molecules that can link with other                        molecules"
"1986","dudley r. herschbach yuan t. lee john c. polanyi","development of methods for analyzing basic chemical                        reactions"
"1985","herbert a. hauptman jerome karle","development of a way to map the chemical structures                        of small molecules"
"1984","bruce merrifield","development of a method of polypeptide synthesis"
"1983","henry taube","study of electron transfer reactions"
"1982","aaron klug","determination of structure of biological substances"
"1981","kenichi fukui roald hoffmann","orbital symmetry interpretation of chemical reactions"
"1980","paul berg walter gilbert &amp; frederick sanger","first preparation of a hybrid dna and development of                        chemical and biological analyses of dna structure"
"1979","herbert c. brown georg wittig","introduction of compounds of boron and phosphorus in                        the synthesis of organic substances"
"1978","peter mitchell","formulation of a theory of energy transfer processes                        in biological systems"
"1977","ilya prigogine","widening the scope of thermodynamics"
"1976","william lipscomb","structure of boranes"
"1975","john cornforth vladimir prelog","work in stereochemistry"
"1974","paul j. flory","studies of long-chain molecules"
"1973","ernst otto fischer geoffrey wilkinson","organometallic chemistry"
"1972","christian anfinsen stanford moore william h. stein","fundamental contributions to enzyme chemistry"
"1971","gerhard herzberg","research in the structure of molecules"
"1970","luis leloir","discovery of sugar nucleotides and their role in the                        biosynthesis of carbohydrates"
"1969","derek barton odd hassel","work in determining conformation and actual three-dimensional                        shape of molecules"
"1968","lars onsager","work on theory of thermodynamics of irreversible processes"
"1967","manfred eigen ronald g.w. norrish george porter","studies of extremely fast chemical reactions"
"1966","robert s. mulliken","work concerning chemical bonds and the electronic structure                        of molecules"
"1965","robert b. woodward","synthesis of sterols chlorophyll and other substances"
"1964","dorothy crowfoot hodgkin","determining the structure of biochemical compounds                        essential in combating pernicious anemia"
"1963","karl ziegler giulio natta","structure and synthesis of polymers in the field of                        plastics"
"1962","john cowdery kendrew max ferdinand perutz","determination of the structure of hemoproteins"
"1961","melvin calvin","study of chemical steps that take place during photosynthesis"
"1960","willard f. libby","development of radiocarbon dating"
"1959","jaroslav heyrovsky","discovery and development of polarography"
"1958","frederick sanger","determination of the structure of the insulin molecule"
"1957","lord todd","work on nucleotides and nucleotide coenzymes"
"1956","sir cyril hinshelwood nikolay semenov","work on the kinetics of chemical reactions"
"1955","vincent du vigneaud","first synthesis of a polypeptide hormone"
"1954","linus pauling","study of the nature of the chemical bond"
"1953","hermann staudinger","work on macromolecules"
"1952","archer j.p. martin richard l.m. synge","development of partition chromatography"
"1951","edwin m. mcmillan glenn t. seaborg","discovery of and research on transuranium elements"
"1950","otto diels kurt alder","discovery and development of diene synthesis"
"1949","william f. giauque","behaviour of substances at extremely low temperatures"
"1948","arne tiselius","researches in electrophoresis and adsorption analysis;                        serum proteins"
"1947","sir robert robinson","investigation of alkaloids and other plant products"
"1946","james b. sumner john h. northrop &amp; wendell m.                        stanley","discovery of enzyme crystallization and preparation                        of enzymes and virus proteins in pure form"
"1945","artturi virtanen","invention of fodder preservation method"
"1944","otto hahn","discovery of the fission of heavy nuclei"
"1943","george de hevesy","use of isotopes as tracers in chemical research"
"1942","not awarded","&nbsp;"
"1941","not awarded","&nbsp;"
"1940","not awarded","&nbsp;"
"1939","adolf butenandt (declined) leopold ruzicka","work on sexual hormones and work on polymethylenes                        and higher terpenes"
"1938","richard kuhn (declined)","carotenoid and vitamin research"
"1937","norman haworth paul karrer","research on carbohydrates and vitamin c and research                        on carotenoids flavins and vitamins"
"1936","peter debye","work on dipole moments and diffraction of x rays and                        electrons in gases"
"1935","fr�d�ric joliot ir�ne joliot-curie","synthesis of new radioactive elements"
"1934","harold c. urey","discovery of heavy hydrogen"
"1933","not awarded","&nbsp;"
"1932","irving langmuir","discoveries and investigations in surface chemistry"
"1931","carl bosch friedrich bergius","invention and development of chemical high-pressure                        methods"
"1930","hans fischer","studies and synthesis of hemin chlorophyll research"
"1929","arthur harden hans von euler-chelpin","investigations in the fermentation of sugars and the                        enzyme action involved"
"1928","adolf windaus","constitution of sterols and their connection with vitamins"
"1927","heinrich wieland","researches into the constitution of bile acids"
"1926","the svedberg","work on disperse systems"
"1925","richard zsigmondy","elucidation of the heterogeneous nature of colloidal                        solutions"
"1924","not awarded","&nbsp;"
"1923","fritz pregl","method of microanalysis of organic substances"
"1922","francis w. aston","work with mass spectrograph; whole-number rule"
"1921","frederick soddy","chemistry of radioactive substances; occurrence and                        nature of isotopes"
"1920","walther nernst","work in thermochemistry"
"1919","not awarded","&nbsp;"
"1918","fritz haber","synthesis of ammonia"
"1917","not awarded","&nbsp;"
"1916","not awarded","&nbsp;"
"1915","richard willst�tter","pioneer researches in plant pigments especially chlorophyll"
"1914","theodore w. richards","accurate determination of the atomic weights of numerous                        elements"
"1913","alfred werner","work on the linkage of atoms in molecules"
"1912","victor grignard paul sabatier","discovery of the so-called grignard reagent which                        in recent years has greatly advanced the progress of                        organic chemistry and method of hydrogenating organic                        compounds in the presence of finely disintegrated metals                        whereby the progress of organic chemistry has been greatly                        advanced in recent years"
"1911","marie curie","discovery of the elements radium and polonium by the                        isolation of radium and the study of the nature and compounds                        of this remarkable element"
"1910","otto wallach","pioneering work in the field of alicyclic compounds"
"1909","wilhelm ostwald","work on catalysis and for his investigations into the                        fundamental principles governing chemical equilibria                        and rates of reaction"
"1908","ernest rutherford","investigations into the disintegration of the elements                        and the chemistry of radioactive substances"
"1907","eduard buchner","biochemical researches and his discovery of cellfree                        fermentation"
"1906","henri moissan","investigation and isolation of the element fluorine                        and for the adoption in the service of science of the                        electric furnace called after him"
"1905","adolf von baeyer","the advancement of organic chemistry and the chemical                        industry through his work on organic dyes and hydroaromatic                        compounds"
"1904","sir william ramsay","the discovery of the inert gaseous elements in air                        and his determination of their place in the periodic                        system"
"1903","svante arrhenius","advancement of chemistry by his electrolytic theory                        of dissociation"
"1902","emil fischer","work on sugar and purine syntheses"
"1901","jacobus h. van 't hoff","discovery of the laws of chemical dynamics and osmotic                        pressure in solutions"
