"code","airport","town / city","distance"
"abr","aberdeen regional airport","aberdeen","n/a"
"abi","abilene regional airport","abilene","n/a"
"spi","abraham lincoln capital airport","springfield","n/a"
"ara","acadiana regional airport","new iberia","n/a"
"mfv","accomack county airport","melfa","n/a"
"adk","adak airport","adak","n/a"
"lit","adams field","little rock","n/a"
"ekx","addington field","elizabethtown","n/a"
"ads","addison airport","dallas","n/a"
"slk","adirondack regional airport","saranac lake","n/a"
"afo","afton municipal airport","afton","n/a"
"aik","aiken municipal airport","aiken","n/a"
"anw","ainsworth municipal airport","ainsworth","n/a"
"iln","airborne airpark","wilmington","n/a"
"akk","akhiok airport","akhiok","n/a"
"aki","akiak airport","akiak","n/a"
"nmm","akin airport","topton","n/a"
"akc","akron fulton international airport","akron","n/a"
"cak","akron-canton regional airport","akron","n/a"
"ako","akron-washington county airport","akron","n/a"
"kqa","akutan seaplane base","akutan","n/a"
"auk","alakanuk airport","alakanuk","n/a"
"alm","alamogordo-white sands regional airport","alamogordo","n/a"
"alb","albany county airport","albany","n/a"
"oaj","albert j ellis airport","jacksonville","n/a"
"ael","albert lea municipal airport","albert lea","n/a"
"spg","albert whitted airport","saint petersburg","n/a"
"fep","albertus airport","freeport","n/a"
"bvn","albion municipal airport","albion","n/a"
"abq","albuquerque international airport","albuquerque","n/a"
"wkk","aleknagik airport","aleknagik","n/a"
"esf","alexandria esler regional airport","alexandria","n/a"
"axg","algona municipal airport","algona","n/a"
"ali","alice international airport","alice","n/a"
"alz","alitak seaplane base","akhiok","n/a"
"aet","allakaket airport","alatna","n/a"
"agc","allegheny county airport","pittsburgh","n/a"
"big","allen army air field","delta junction","n/a"
"bkt","allen c perkinson municipal airport","blackstone","n/a"
"aia","alliance municipal airport","alliance","n/a"
"dma","allied airstrip","rankin","n/a"
"apn","alpena county regional airport","alpena","n/a"
"ale","alpine-casparis municipal airport","alpine","n/a"
"aoo","altoona-blair county airport","altoona","n/a"
"aat","alturas municipal airport","alturas","n/a"
"axs","altus municipal airport","welon","n/a"
"afm","ambler airport","ambler","n/a"
"ahh","amery municipal airport","amery","n/a"
"amw","ames municipal airport","ames","n/a"
"aos","amook bay seaplane base","NULL","n/a"
"ots","anacortes airport","anacortes","n/a"
"akp","anaktuvuk pass airport","anaktuvuk pass","n/a"
"anc","anchorage international airport","anchorage","n/a"
"and","anderson county airport","greenbriar","n/a"
"aid","anderson municipal airport","chesterfield","n/a"
"lfk","angelina county airport","lufkin","n/a"
"agn","angoon seaplane base","angoon","n/a"
"ani","aniak airport","aniak","n/a"
"amk","animas air park","durango","n/a"
"ikv","ankeny regional airport","ankeny","n/a"
"arb","ann arbor municipal airport","ann arbor","n/a"
"anb","anniston-calhoun county airport","anniston","n/a"
"afp","anson county airport","wadesboro","n/a"
"any","anthony municipal airport","anthony","n/a"
"ate","antlers municipal airport","antlers","n/a"
"acb","antrim county airport","bellaire","n/a"
"anv","anvik airport","anvik","n/a"
"aaf","apalachicola municipal airport","franklin","n/a"
"apv","apple valley county airport","apple valley","n/a"
"rkp","aransas county airport","rockport","n/a"
"apa","arapahoe county airport","meridian","n/a"
"ahf","arapahoe municipal airport","arapahoe","n/a"
"acv","arcata airport","clam beach","n/a"
"arc","arctic village airport","arctic village","n/a"
"ahd","ardmore downtown executive airport","ardmore","n/a"
"adm","ardmore municipal airport","ardmore","n/a"
"gky","arlington municipal airport","arlington","n/a"
"awo","arlington municipal airport","arlington","n/a"
"lbe","arnold palmer regional airport","latrobe","n/a"
"ats","artesia municipal airport","artesia","n/a"
"cin","arthur n neu airport","carroll","n/a"
"avl","asheville municipal airport","asheville","n/a"
"jfn","ashtabula county airport","ashtabula","n/a"
"ase","aspen-pitkin county airport-sardy field","woody creek","n/a"
"ahn","athens-ben epps airport","athens","n/a"
"pts","atkinson municipal airport","pittsburg","n/a"
"acy","atlantic city international airport","atlantic city","n/a"
"aio","atlantic municipal airport","atlantic","n/a"
"att","atmautluak airport","atmautluak","n/a"
"aqr","atoka municipal airport","atoka","n/a"
"aun","auburn municipal airport","auburn","n/a"
"auo","auburn-opelika robert g pitts airport","auburn","n/a"
"lew","auburn/lewiston municipal airport","lewiston junction","n/a"
"aug","augusta state airport","hallowell","n/a"
"uao","aurora state airport","aurora","n/a"
"asq","austin airport","austin","n/a"
"aum","austin municipal airport","austin","n/a"
"grb","austin straubel international airport","green bay","n/a"
"amg","bacon county airport","alma","n/a"
"bgt","bagdad airport","bagdad","n/a"
"bke","baker municipal airport","estes (historical)","n/a"
"bwi","baltimore-washington international airport","baltimore","n/a"
"bgr","bangor international airport","bangor","n/a"
"bng","banning municipal airport","banning","n/a"
"pah","barkley regional airport","paducah","n/a"
"baf","barnes municipal airport","owen district","n/a"
"hya","barnstable municipal airport-boardman/polando field","hyannis","n/a"
"dag","barstow daggett county airport","daggett","n/a"
"bti","barter island lrrs airport","kaktovik","n/a"
"bvo","bartlesville municipal airport","bartlesville","n/a"
"bow","bartow municipal airport","bartow","n/a"
"mob","bates field","mobile","n/a"
