"NULL","sted","samlingen omfatter"
"norge","NULL","NULL"
"astrup fearnley museet for moderne kunst","oslo","moderne kunst norsk og internasjonal"
"astruptunet","skei jølster","nikolai astrups kunst i hans atelier"
"det internasjonale barnekunstmuseum","oslo","barnekunst fra hele verden"
"bergen kunstmuseum","bergen","norsk og internasjonal kunst"
"drammens museum for kunst og kulturhistorie","drammen","norsk kunst fra 1800 til i dag med vekt på buskerud-kunstnere"
"eikåsgalleriet","jølster","ludvig eikaas' kunst"
"emanuel vigeland-museet","oslo","emanuel vigelands kunst bl.a. fresker i hans atelier"
"haugar vestfold kunstmuseum","tønsberg","samtidskunst"
"haugesund billedgalleri","haugesund","vesentlig vestlandsk kunst fra 1900-tallet"
"henie onstad kunstsenter","høvikodden bærum","moderne kunst norsk og internasjonal"
"holmsbu billedgalleri","holmsbu","henrik sørensens kunst"
"ingebrigt vik-museet","øystese","ingebrigt viks skulpturer"
"lillehammer kunstmuseum","lillehammer","norsk malerkunst fra 1820 til i dag"
"munch-museet","oslo","edvard munchs malerier grafikk og tegninger"
"nasjonalmuseet for kunst arkitektur og design","oslo","(tidl. nasjonalgalleriet kunstindustrimuseet museet for samtidskunst og norsk arkitekturmuseum)."
"nordenfjeldske kunstindustrimuseum","trondheim","moderne kunsthåndverk og design"
"nordnorsk kunstmuseum","tromsø","norsk billedkunst og kunsthåndverk spesielt nordnorsk"
"preus museum","horten","fotografiens historie skiftende utstillinger"
"peder balke museet","bøverbru toten","peder balkes malerier bl.a. 12 veggmalerier"
"rogaland kunstmuseum","stavanger","norsk kunst fra 1800- og 1900-tallet bl.a. lars hertervig; dessuten samling halvdan hafsten"
"stenersenmuseet","oslo","norsk og utenlandsk billedkunst samt amaldus nielsen og l. ravensberg"
"sørlandets kunstmuseum","kristiansand","maleri skiftende utstillinger"
"trondheim kunstmuseum","trondheim","norsk kunst fra 1800- og 1900-tallet"
"vestlandske kunstindustrimuseum","bergen","kunsthåndverk og design"
"vigeland-museet","oslo","gustav vigelands livsverk i hans atelier"
"vinje biletgalleri","vinje telemark","henrik sørensens og harald kihles kunst"
"NULL","NULL","NULL"
"sverige","NULL","NULL"
"aguélimuseet","sala","ivan aguélis kunst samt en rekke andre 1900-tallskunstnere"
"borås konstmuseum","borås","svensk 1900-talls kunst samt grafikk og kunsthåndverk"
"dödarhultarmuseet","oskarshamn","atelier og hjem til den kjente treskulptøren axel robert petersson"
"göteborgs konstmuseum","göteborg","sveriges nest største kunstmuseum. eldre og nyere billedkunst"
"konstmuseet","lund","spesialmuseum for offentlig kunst"
"konstmuseet","malmö","samling av nordisk kunst. kunsthåndverk"
"millesgården","stockholm","{carl milles|antikken}"
"moderna museet","stockholm","maleri og skulptur fra 1900-tallet"
"nationalmuseum","stockholm","maleri og skulptur før 1910; tegning grafikk og kunsthåndverk frem til vår tid"
"norrköpings konstmuseum","norrköping","museum med hovedvekt på svensk 1900-tall. kunsthåndverk og skulpturpark"
"thielska galleriet","stockholm","unik kunstsamling fra tiden omkring 1900"
"västerås konstmuseum","västerås","eldre billedkunst og svensk 1900-tall"
