"label","Wikipage page ID"
"Myriad Colors Phantom World","47526541"
"Møre-Nytt",""
"NPG Asia Materials",""
"National Student Housing Survey","45436619"
"Naya Patrika","47185579"
"Neue Vorarlberger Tageszeitung","45299736"
"Newsweek Serbia",""
"虹色デイズ",""
"Nineteenth-Century French Studies",""
"Nutrition (journal)","45383831"
"Národná obroda",""
"Oncology Letters","47136446"
"Ostsee-Zeitung",""
"Ot me-Avshalom",""
"Political Analysis","47428760"
"Portuguese Economic Journal",""
"Pride Life","47244865"
"Principles of Corporate Finance","45553021"
"Psycho-Oncology",""
"Re: zero kara hajimeru isekai seikatsu","47276532"
