"Assets","Jun 99","Mar 88","Mar 87"
"Current Assets","Current Assets","Current Assets","Current Assets"
"Cash","165.2","4.0","10.5"
"Net Receivables","1590.3","--","--"
"Inventories","2931.4","--","--"
"Other Current Assets","459.7","--","--"
"Total Current Assets","5146.6","161.9","--"
"Net Fixed Assets","1540.5","--","--"
"Other Noncurrent Assets","1601.9","--","--"
"Total Assets","8289.0","190.5","177.0"
"Liabilities","Jun 99","Mar 88","Mar 87"
"Current Liabilities","Current Liabilities","Current Liabilities","Current Liabilities"
"Accounts Payable","2360.8","--","--"
"Short-Term Debt","40.2","--","--"
"Other Current Liabilities","558.0","--","--"
"Total Current Liabilities","2959.0","85.8","--"
"Long-Term Debt","1223.9","50.3","55.5"
"Other Noncurrent Liabilities","643.1","--","--"
"Total Liabilities","4826.0","--","--"
"Shareholder's Equity","Shareholder's Equity","Shareholder's Equity","Shareholder's Equity"
"Preferred Stock Equity","--","--","--"
"Common Stock Equity","3463.0","--","--"
"Total Equity","3463.0","54.0","--"
"Shares Outstanding (thou.)","360392.1","20.2","19.7"
