"common name","latin name","type","rating"
"african lily","agapanthus sp.","perennials","b"
"ageratum&nbsp;","ageratum houstonianum","annuals","a"
"allegheny serviceberry&nbsp;","amelanchier laevis","trees","b"
"allegheny spurge","pachysandra procumbens","groundcovers","a"
"alternate-leaved dogwood","cornus alternifolia","trees","c"
"american arborvitae","thuja occidentalis","trees","d"
"american bittersweet","celastrus scandens","vines","b"
"american holly","ilex opaca","trees","a"
"angel's trumpet","brugmansia sp. (datura)","annuals","a"
"anise","pimpinalla anisum","annuals","a"
"anise hyssop&nbsp;","agastache sp.","perennials","a"
"annual vinca&nbsp;","catharanthus rosea","annuals","a"
"anthony waterer spirea","spiraea x bumalda","shrubs","b"
"apples","malus sp.","trees","c"
"armstrong juniper","juniperus chinensis 'armstrongii'","shrubs","b"
"arrowwood viburnum","viburnum dentatum","shrubs","a"
"asparagus","asparagus officinalis","perennials","b"
"aster","aster sp.","perennials","b"
"astilbe&nbsp;","astilbe sp.","perennials","b"
"atlantic white cedar","chamaecyparis thyoides","trees","c"
"atlas cedar","cedrus atlantica","trees","c"
"austrian pine","pinus nigra","trees","b"
"autumn crocus&nbsp;","colchicum sp.","bulbs","a"
"autumn olive","elaeagnus umbellatus","shrubs","b"
"baby's breath","gypsophila sp.","perennials","b"
"bachelor's buttons","centaurea cyanus","annuals","b"
"bald cypress","taxodium distichum","trees","c"
"balloon flower","platycodon grandiflorus","perennials","c"
"balsam fir","abies balsamea","trees","c"
"balsam touch-me-not","impatiens balsamina","annuals","c"
"bamboo","bambusa sp.","ornamental grasses","b"
"barberry&nbsp;","berberis sp.","shrubs","a"
"barrenwort&nbsp;","epimedium sp.","groundcovers","a"
"basil","ocimum basilicum","annuals","b"
"basket of gold","aurinia saxatilis","perennials","a"
"basswood","tilia americana","trees","c"
"bayberry","myrica pensylvanica","shrubs","a"
"bearberry","arctostaphylos uva-ursi","groundcovers","a"
"bearberry cotoneaster","cotoneaster dammeri","shrubs","b"
"beautyberry&nbsp;","callicarpa sp.","shrubs","b"
"beautybush","kolkwitzia amabilis","shrubs","b"
"beebalm","monarda didyma","perennials","b"
"bellflower","campanula glomerata","perennials","c"
"big bluestem&nbsp;","andropogon sp.","ornamental grasses","a"
"bigleaf goldenray&nbsp;","ligularia dentata","perennials","a"
"bigleaf hydrangea","hydrangea macrophylla","shrubs","c"
"bishop's weed&nbsp;","aegopodium podagaria","groundcovers","a"
"black locust","robinia pseudoacia","trees","c"
"black-eyed susan","rudbeckia sp.","perennials","b"
"blackhaw viburnum","viburnum prunifolium","shrubs","b"
"blanket flower&nbsp;","gaillardia sp.","perennials","c"
"blazing star&nbsp;","liatris sp.","perennials","b"
