"Geburtsdatum","label","birth place","Geburtsort"
"1988-10-13","Claire Michel","http://dbpedia.org/resource/Brussels","http://dbpedia.org/resource/Brussels"
"","Clayton Rose","",""
"","Clem$","France",""
"","Cliff Evans (artist)","http://dbpedia.org/resource/Darkwood","http://dbpedia.org/resource/Darkwood"
"","CoCo Brown","",""
"","Coco Johnsen","http://dbpedia.org/resource/North_Carolina","http://dbpedia.org/resource/North_Carolina"
"","Colby Keller","",""
"","Coleman Hell","","http://dbpedia.org/resource/Ontario"
"","Colleen D'Agostino","",""
"1954","Colleen Fletcher","","http://dbpedia.org/resource/Coventry"
"","Conor Lennon","",""
"","Cor Melchers","Huissen","http://dbpedia.org/resource/Huissen"
"1980-10-21","Coretta Brown","",""
"","Courtney Young (librarian)","",""
"","Cristian Bocșan","http://dbpedia.org/resource/Romania","http://dbpedia.org/resource/Romania"
"1975-12-03","Cristina Llanos","",""
