"Name","Type","Assets(Millions)","LocalBranches"
"Bank of America National Association","All Other > $1 Billion","1047537","1"
"Bank of the West","All Other > $1 Billion","41903","1"
"First Northern Bank of Dixon","Commercial Lending","631","2"
"NVB Business Bank","Commercial Lending","144","1"
"Premier West Bank","Commercial Lending","876","1"
"River City Bank","Commercial Lending","752","1"
"Tri Counties Bank","Commercial Lending","1720","1"
"U.S. Bank National Association","Commercial Lending","203477","1"
"Umpqua Bank","Commercial Lending","5017","1"
"Washington Mutual Bank","Mortgage Lending","310278","1"
"Wells Fargo Bank National Association","All Other > $1 Billion","364120","1"
"Westamerica Bank","Commercial Lending","5162","1"
"* Disclaimer: List is not guaranteed to be complete or accurate.","&nbsp;","&nbsp;","&nbsp;"
