"Link from a Wikipage to an external page","Wikipage page ID","label","Wikipage revision ID"
"http://heasarc.gsfc.nasa.gov/docs/heasarc/missions/venera1112.html","599926","Venera 11","683326648"
"","","Nozomi (spacecraft)",""
"http://www.federalspace.ru/Doc1Show.asp?DocID=16","425265","Phobos 2","681206717"
"http://www.astronautix.com/project/lunarl1.htm","736498","Zond 4","678822867"
"http://nmp.jpl.nasa.gov/st5/","4243482","Space Technology 5","653118543"
"","","Mars-Grunt",""
"","36298144","Mars Geyser Hopper","662156025"
"http://www.nestra.jp/eng/","43129414","Hodoyoshi-4","655322546"
"","","High Energy Transient Explorer",""
"","","Astrobiology Field Laboratory",""
"","","Deep Impact (spacecraft)",""
"","10537022","Dynamics Explorer",""
"","","Huygens (spacecraft)",""
"http://vanallenprobes.jhuapl.edu/","9387801","Van Allen Probes","660873418"
"","26144548","Communication-Centric Intelligence Satellite","646751175"
"","","Helios (spacecraft)",""
"http://www.csr.utexas.edu/grace/","1111077","Gravity Recovery and Climate Experiment","683337186"
"","","Hayabusa",""
"","","Hiten",""
"","","Jupiter Ganymede Orbiter",""
