"birth place","label","Geburtsort"
"http://dbpedia.org/resource/United_States","Blair Tugman","http://dbpedia.org/resource/United_States"
"","Blue (rapper)","http://dbpedia.org/resource/Gwangju"
"New York City","Boaz Lavie",""
"","Bob Loonan",""
"","Bob Theil","http://dbpedia.org/resource/Scotland"
"http://dbpedia.org/resource/Kumanovo","Boban Trajkovski","http://dbpedia.org/resource/Kumanovo"
"http://dbpedia.org/resource/Bangladesh","Bobby Hajjaj","http://dbpedia.org/resource/Bangladesh"
"","Bodega Bamz","http://dbpedia.org/resource/United_States"
"","Brad Rubinstein","http://dbpedia.org/resource/England"
"","Brazilian Wrestling Federation",""
"http://dbpedia.org/resource/Calgary","Brendan Miles","http://dbpedia.org/resource/Calgary"
"","Brennan Heart",""
"http://dbpedia.org/resource/Los_Angeles","Brent Jones (musician)","http://dbpedia.org/resource/Los_Angeles"
