"Draw","Country","Language","Artist","Song","English translation","Place","Points"
"01","&nbsp;Austria","German","BlueDanube","Du bistMusik","You are music","8","64"
"02","&nbsp;Turkey","Turkish","Ajda Pekkan","Pet'r Oil","Petroleum","15","23"
"03","&nbsp;Greece","Greek","{Anna Vissi|Epikouri}","Autostop(???????)","Hitch-hiking","13","30"
"04","&nbsp;Luxembourg","French","Sophie&amp; Magaly","Papapingouin","Papa penguin","9","56"
"05","&nbsp;Morocco","Arabic","SamiraBensa?d","Bitaqat Khub(????? ??)","Love message","18","7"
"06","&nbsp;Italy","Italian","AlanSorrenti","Non soche darei","I don't know what I would give","6","87"
"07","&nbsp;Denmark","Danish","BamsesVenner","T?nker altid p? dig","Always thinking of you","14","25"
"08","&nbsp;Sweden","Swedish","Tomas Ledin","Just nu!","Right now!","10","47"
"09","&nbsp;Switzerland","French","Paola","Cin?ma","Cinema","4","104"
"10","&nbsp;Finland","Finnish","Vesa-MattiLoiri","Huilumies","Flute man","19","6"
"11","&nbsp;Norway","Norwegian","{SverreKjelsberg|Mattis H?tta}","S?miid?dnan","Lapland","16","15"
"12","&nbsp;Germany","German","KatjaEbstein","Theater","Theatre","2","128"
"13","&nbsp;UnitedKingdom","English","PrimaDonna","Love Enough for Two","?","3","106"
"14","&nbsp;Portugal","Portuguese","Jos? Cid","Um grande grande amor","A great great love","7","71"
"15","&nbsp;Netherlands","Dutch","MaggieMacNeal","Amsterdam","?","5","93"
"16","&nbsp;France","French","Profil","H? h? m'sieurs dames","Hey hey ladies and gentlemen","11","45"
"17","&nbsp;Ireland","English","Johnny Logan","What's Another Year","?","1","143"
"18","&nbsp;Spain","Spanish","TrigoLimpio","Qu?date esta noche","Stay tonight","12","38"
"19","&nbsp;Belgium","French","Telex","Euro-Vision","?","17","14"
