"pompey the great","imperator","81 - 48 b.c.","NULL"
"sextus pompey","&nbsp;imperatorial general&nbsp;","45&nbsp; - 35 b.c.","NULL"
"julius caesar","&nbsp;imperator &amp; dictator&nbsp;","61 - 44 b.c.","NULL"
"brutus&nbsp;","imperatorial general","50 - 42 b.c.","NULL"
"cassius&nbsp;","imperatorial general&nbsp;","50 - 42 b.c.","NULL"
"ahenobarbus&nbsp;","imperatorial general&nbsp;","42 - 32 b.c.","NULL"
"marcus antonius","&nbsp;imperator and general&nbsp;","61- 30 b.c.","NULL"
"lepidus&nbsp;","imperator","46 - 42 b.c.","NULL"
"augustus (octavian)&nbsp;","first roman emperor","27 b.c. - 14 a.d.","NULL"
"agrippa","imperial general","31 b.c. - 12","NULL"
"tiberius&nbsp;","emperor&nbsp;","14 - 37 a.d.","NULL"
"drusus&nbsp;","son of tiberius","23 a.d.","NULL"
"nero claudius drusus&nbsp;","brother of tiberius","died 9 b.c.","NULL"
"germanicus&nbsp;","nephew and adopted son of tiberius","died 19 a.d.","NULL"
"caligula&nbsp;","emperor&nbsp;","37 - 41 a.d.","NULL"
"claudius","emperor&nbsp;","41 - 54 a.d.","NULL"
"britannicus","son of claudius","died 55 a.d.","NULL"
"nero&nbsp;","emperor","54 - 68 a.d.","NULL"
"clodius macer&nbsp;","rebel against galba","68 a.d.","NULL"
"galba&nbsp;","emperor&nbsp;","68 - 69 a.d.","NULL"
"otho&nbsp;","emperor&nbsp;","69 a.d.","NULL"
"vitellius","emperor","69 a.d.","NULL"
"vespasian&nbsp;","emperor","69 - 79 a.d.","NULL"
"titus&nbsp;","emperor","79 - 81 a.d.","NULL"
"domitian&nbsp;","emperor&nbsp;","81 - 96 a.d.","NULL"
"nerva&nbsp;","emperor&nbsp;","96 - 98 a.d.","NULL"
"trajan","emperor","98 - 117 a.d.","NULL"
"hadrian&nbsp;","emperor","117 - 138 a.d.","NULL"
"aelius&nbsp;","caesar&nbsp;","136 - 138 a.d.","NULL"
"antoninus pius&nbsp;","emperor&nbsp;","138 - 161 a.d.","NULL"
"marcus aurelius","emperor","161 - 180 a.d.","NULL"
"lucius verus","emperor","161 - 169 a.d.","NULL"
"commodus&nbsp;","emperor&nbsp;","180 - 192 a.d.","NULL"
"pertinax","emperor&nbsp;","193 a.d.","NULL"
"didius julianus","emperor&nbsp;","193 a.d.","NULL"
"clodius albinus","&nbsp;caesar/contender for the throne","195 - 197 a.d.","NULL"
"pescennius niger","caesar","193 - 194 a.d.","NULL"
"septimius severus&nbsp;","emperor&nbsp;","193 - 211 a.d.","NULL"
"geta&nbsp;","emperor","211 - 212 a.d.","NULL"
"caracalla","emperor&nbsp;","211 - 217 a.d.","NULL"
"macrinus&nbsp;","emperor&nbsp;","217 - 218 a.d.","NULL"
"elagabalus&nbsp;","emperor&nbsp;","218 - 222 a.d.","NULL"
"severus alexander","emperor&nbsp;","222 - 235 a.d.","NULL"
"maximinus i","emperor","235 - 238 a.d.","NULL"
"gordianus i - africanus","emperor&nbsp;","238 a.d.&nbsp;","NULL"
"gordianus ii - africanus","emperor&nbsp;","238 a.d.&nbsp;","NULL"
"balbinus and pupienus","emperors&nbsp;","238 a.d.&nbsp;","NULL"
"gordianus iii&nbsp;","emperor","238 - 244 a.d.&nbsp;","NULL"
"philip i&nbsp; - the arab","emperor","244 - 249 a.d.","NULL"
"philip ii","emperor","247 - 249 a.d.","NULL"
"pacatian and jotapian","usurpers","248 a.d.","NULL"
"trajan decius","emperor","249 - 251 a.d.","NULL"
"herennius etruscus","emperor","251 a.d.","NULL"
"hostilian","emperor","251 a.d.","NULL"
"trebonianus gallus&nbsp;","emperor","251 - 253 a.d.","NULL"
"volusianus","emperor","251 - 253 a.d.","NULL"
"aemilianus&nbsp;","emperor","253 a.d.","NULL"
"uranius antoninus","usurper in emesa&nbsp;","253 - 254 a.d.","NULL"
"valerian i&nbsp;","emperor","253 - 260 a.d.","NULL"
"valerian ii","caesar","253 - 255 a.d.","NULL"
