"label","Geburtsort","birth place"
"ジャーモール・チャーロ","http://dbpedia.org/resource/United_States","http://dbpedia.org/resource/United_States"
"Mark de Mori","",""
"Erkan Teper","http://dbpedia.org/resource/North_Rhine-Westphalia",""
"Jamie Conlan","http://dbpedia.org/resource/Northern_Ireland","http://dbpedia.org/resource/Northern_Ireland"
"Johnny Hill","",""
"Juliette Winter","http://dbpedia.org/resource/Whitehaven",""
"Keith Saunders (boxer)","http://dbpedia.org/resource/Australia",""
"Ma Yiming (boxer)","http://dbpedia.org/resource/Dalian","http://dbpedia.org/resource/Dalian"
"Michel Soro","http://dbpedia.org/resource/Ivory_Coast","http://dbpedia.org/resource/Ivory_Coast"
"Qiu Xiaojun (boxer)","http://dbpedia.org/resource/Suzhou","http://dbpedia.org/resource/Suzhou"
"Tan Teng Kee (boxer)","http://dbpedia.org/resource/Singapore","http://dbpedia.org/resource/Singapore"
