"label","Wikipage page ID","Wikipage revision ID"
"25 études","17909587","572700380"
"Caprice No. 13 (Paganini)","13136028","544951823"
"Polonesa Op. 40 (Chopin)","13117295","680282451"
"Fantasía y fuga sobre el motivo BACH","13346275","541587803"
"Five Scenes from the Snow Country","13290319","476701199"
"Morceaux de Salon","",""
"Pastime Variations","",""
"スケルツォ第2番 (ショパン)","13256726","683486061"
"ため息 (エルガー)","13067567","680908953"
"Variación sobre un vals de Diabelli (Liszt)","",""
"Grande Tarantelle","15909989","588140024"
"Hymn to Saint Sava","15976236","660177603"
"Ice Field","33596039","672950902"
"Songs Sacred and Profane","46541550","681002050"
"Three Czech Dances (Martinů)","",""
"...à la Fumée","37772862","669493814"
