"label","Wikipage page ID"
"Cupa României 1939/40","46913308"
"1940–41 Cupa României","47913923"
"1941–42 Cupa României","47953202"
"1942–43 Cupa României","47953770"
"1947–48 Cupa României","47955121"
"1948–49 Cupa României","47962832"
"1950 Cupa României","48015216"
"1977 Belgian Cup Final","46190538"
"1994 Belgian Cup Final","46195025"
"1995 Conference USA Men's Soccer Tournament","47694328"
"1996 Conference USA Men's Soccer Tournament","47702200"
"1997 Conference USA Men's Soccer Tournament","47702318"
"1998 Conference USA Men's Soccer Tournament","47703194"
"1999 Conference USA Men's Soccer Tournament","47703389"
"2000 Conference USA Men's Soccer Tournament","47703492"
"2001 Conference USA Men's Soccer Tournament","47703571"
"2002 Conference USA Men's Soccer Tournament","47703649"
"2003 Conference USA Men's Soccer Tournament","47703724"
"2003 UEFA European Under-17 Championship qualification","47379859"
"2004 Conference USA Men's Soccer Tournament","47703799"
