"label","Geburtsort"
"Kang Ling","http://dbpedia.org/resource/Jiangsu"
"Kenneth Lau (racing driver)","http://dbpedia.org/resource/Hong_Kong"
"Kenneth Ma (racing driver)","http://dbpedia.org/resource/Hong_Kong"
"Kenny Lee","http://dbpedia.org/resource/Kuala_Lumpur"
"Kenta Yamashita",""
"Konstantīns Calko","http://dbpedia.org/resource/Daugavpils"
"Lam Kam San","http://dbpedia.org/resource/Macau"
"Loris Hezemans","http://dbpedia.org/resource/Uccle"
"Macauley Jones","http://dbpedia.org/resource/Albury"
"Mak Hing Tak","http://dbpedia.org/resource/Hong_Kong"
"Markus Östreich","http://dbpedia.org/resource/Fulda"
"Masahiko Ida","http://dbpedia.org/resource/Japan"
"Matt Levin",""
"Michael Choi (racing driver)","http://dbpedia.org/resource/Hong_Kong"
"Michael Jernberg","http://dbpedia.org/resource/Kinna"
"Norbert Tóth (racing driver)","http://dbpedia.org/resource/Hungary"
"Oscar Cabalén",""
"Philippe Descombes","http://dbpedia.org/resource/France"
"Pol Rosell","http://dbpedia.org/resource/Vic"
"Rafaël Galiana","http://dbpedia.org/resource/Bouches-du-Rhône"
