"language","91/271/EEC directive Celex No. 31991L0271","HTML","&nbsp; PDF&nbsp;","&nbsp; MP3&nbsp;"
"English","Council Directive 91/271/EEC of 21 May 1991 concerning urban waste-water treatment","HTML","105 KB","4.2 MB"
"Deutsch","Richtlinie 91/271/EWG des Rates vom 21. Mai 1991 ?ber die Behandlung                                       von kommunalem Abwasser","HTML","113 KB","45 MB"
"Fran?ais","Directive 91/271/CEE du Conseil du 21 mai 1991 relative au traitement                                       des eaux urbaines r?siduaires","HTML","113 KO","44 MO"
"Espna?ol","Directiva 91/271/CEE del Consejo de 21 de mayo de 1991 sobre el                                       tratamiento de las aguas residuales urbanas","HTML","115 KB","53 MB"
"Portugu?s","Directiva 91/271/CEE do Conselho de 21 de Maio de 1991 relativa                                       ao tratamento de ?guas residuais urbanas","HTML","111 KB","5 MB"
"Italiano","Direttiva 91/271/CEE del Consiglio del 21 maggio 1991 concernente                                       il trattamento delle acque reflue urbane","HTML","112 KB","52 MB"
"&#917;&#955;&#955;&#951;&#957;&#945;&#962;","&#927;&#948;&#951;&#947;&#943;&#945; 91/271/&#917;&#927;&#922;                                       &#964;&#959;&#965; &#931;&#965;&#956;&#946;&#959;&#965;&#955;&#943;&#959;&#965; &#964;&#951;&#962; 21&#951;&#962; &#924;&#945;&#912;&#959;&#965;                                       1991 &#947;&#953;&#945; &#964;&#951;&#957; &#949;&#960;&#949;&#958;&#949;&#961;&#947;&#945;&#963;&#943;&#945; &#964;&#969;&#957;                                       &#945;&#963;&#964;&#953;&#954;&#974;&#957; &#955;&#965;&#956;&#940;&#964;&#969;&#957;","HTML","111 KB","?"
"Polski","Dyrektywa Rady z dnia 21&nbsp;maja                                       1991&nbsp;r. dotycz&#261;ca oczyszczania &#347;ciek?w komunalnych (91/271/EWG)","HTML","500 KB","?"
"Sweden","R?dets direktiv 91/271/EEG av den 21 maj 1991 om rening av avloppsvatten                                       fr?n t?tbebyggelse","HTML","100 KB","?"
"Slovakia","Smernica Rady z 21. m?ja 1991 o &#269;isten? komun?lnych odpadov?ch v?d (91/271/EHS)","HTML","508 KB","?"
"Finland","Neuvoston direktiivi 91/271/ETY annettu 21 p?iv?n? toukokuuta                                       1991 yhdyskuntaj?tevesien k?sittelyst?","HTML","102 KB","?"
"Malta","ID-DIRETTIVA TAL-KUNSILL ta&#8217; l-21 ta&#8217;                                       Mejju 1991 dwar it-trattament ta&#8217; l-ilma urban mormi","HTML","500 KB","?"
"Estonia","N?ukogu direktiiv 21. mai 1991                                       asulareovee puhastamise kohta (91/271/EM?)","HTML","498 KB","?"
"Romania","Directiva Consiliului din 21 mai 1991 privind tratarea apelor urbane reziduale (91/271/CEE)","?","159 KB","?"
"Latvia","Padomes Direkt&#299;va (1991. gada 21. maijs) par komun&#257;lo notek&#363;de&#326;u att&#299;r&#299;&#353;anu (91/271/EEK)","HTML","507 KB","?"
"Bulgaria","&#1044;&#1080;&#1088;&#1077;&#1082;&#1090;&#1080;&#1074;&#1072;                                       &#1085;&#1072; &#1057;&#1098;&#1074;&#1077;&#1090;&#1072; &#1086;&#1090; 21 &#1084;&#1072;&#1081; 1991 &#1075;&#1086;&#1076;&#1080;&#1085;&#1072; &#1079;&#1072; &#1087;&#1088;&#1077;&#1095;&#1080;&#1089;&#1090;&#1074;&#1072;&#1085;&#1077;&#1090;&#1086;                                       &#1085;&#1072; &#1075;&#1088;&#1072;&#1076;&#1089;&#1082;&#1080;&#1090;&#1077; &#1086;&#1090;&#1087;&#1072;&#1076;&#1098;&#1095;&#1085;&#1080;                                       &#1074;&#1086;&#1076;&#1080; (91/271/&#1045;&#1048;&#1054;)","?","166 KB","?"
"Lithuania","Tarybos Direktyva 1991 m. gegu&#382;&#279;s 21 d. d&#279;l miesto                                       nuot&#279;k&#371; valymo (91/271/EEB)","HTML","505 KB","?"
"Czechia","Sm&#283;rnice Rady ze dne 21.                                       kv&#283;tna 1991 o &#269;i&#353;t&#283;n? m&#283;stsk?ch odpadn?ch vod (91/271/EHS)","HTML","507 KB","?"
"Holland","Richtlijn 91/271/EEG van de Raad van 21 mei 1991 inzake de behandeling                                       van stedelijk afvalwater","HTML","106 KB","?"
"Slovenia","Direktiva Sveta z dne 21. maja 1991 o &#269;i&#353;&#269;enju                                       komunalne odpadne vode (91/271/EGS)","HTML","499 KB","?"
"Denmark","R?dets direktiv 91/271/E?F af 21. maj 1991 om rensning af byspildevand","HTML","105 KB","?"
"Magyar","A Tan?cs ir?nyelve (1991. m?jus 21.) a telep?l?si szennyv?z kezel?s?r&#337;l                                       (91/271/EGK)","HTML","505 KB","?"
