"princeton university","private research universities ivy league","56900","130000"
"california institute of technology (caltech)","private research universities engineering","69600","123000"
"harvey mudd college","liberal arts engineering","64400","121000"
"harvard university","private research universities ivy league","54100","116000"
"massachusetts institute of technology (mit)","private research universities engineering","69700","115000"
"dartmouth college","private research universities ivy league","51600","114000"
"duke university","private research universities","54400","113000"
"polytechnic institute of new york university (nyu-poly)","private research universities engineering","61000","113000"
"colgate university","liberal arts","48700","112000"
"lehigh university","private research universities","57200","112000"
"stanford university","private research universities","58200","112000"
"college of the holy cross","liberal arts","47200","110000"
"state university of new york (suny) maritime college","state schools engineering","57300","109000"
"bucknell university","liberal arts","52600","108000"
"amherst college","liberal arts","54400","107000"
"manhattan college","private non-profit","53900","107000"
"rensselaer polytechnic institute (rpi)","private research universities engineering","59500","107000"
"university of notre dame","private research universities","52900","107000"
"babson college","private non-profit","56200","106000"
"colorado school of mines","state schools engineering","63400","106000"
"stevens institute of technology","private research universities engineering","59400","106000"
"columbia university","private research universities ivy league","52800","105000"
"santa clara university","private non-profit","52900","105000"
"williams college","liberal arts","51800","105000"
"yale university","private research universities ivy league","50700","105000"
"brown university","private research universities ivy league","50200","104000"
"swarthmore college","liberal arts","50700","104000"
"worcester polytechnic institute (wpi)","private research universities engineering","61200","104000"
"carnegie mellon university (cmu)","private research universities engineering","60000","103000"
"haverford college","liberal arts","39500","103000"
"new jersey institute of technology (njit)","state schools engineering","53400","103000"
"new mexico institute of mining and technology (new mexico tech)","state schools engineering","55700","103000"
"university of pennsylvania","private research universities ivy league","57300","103000"
"university of the pacific stockton ca","private research universities","50100","103000"
"georgia institute of technology","state schools engineering","57500","102000"
"university of california berkeley","state schools","51400","102000"
"case western reserve university","private research universities engineering","52600","101000"
"cornell university","private research universities ivy league","55800","101000"
"union college new york","liberal arts","48200","101000"
"clarkson university","private research universities engineering","57900","100000"
"lafayette college","liberal arts","51800","100000"
"vanderbilt university","private research universities","51300","100000"
"washington and lee university","liberal arts","48600","99800"
"fairfield university","private non-profit","48400","99500"
"loyola university maryland","private non-profit","47500","98800"
"wake forest university","private research universities","46000","98800"
"carleton college","liberal arts","42800","98300"
"claremont mckenna college","liberal arts","54400","98000"
"massachusetts maritime academy","state schools engineering","54300","98000"
"university of southern california (usc)","private research universities","50200","97800"
"rice university","private research universities","51100","97400"
"boston college","private research universities","49400","97100"
"georgetown university","private research universities","50300","96900"
"la salle university (philadelphia)","private non-profit","46200","96700"
"university of california san diego (ucsd)","state schools","48200","96700"
"the college of william and mary","state schools","45000","96500"
"saint francis university","private non-profit","41800","96400"
"south dakota school of mines & technology","state schools engineering","56700","96300"
"illinois institute of technology (iit)","private research universities engineering","52000","96000"
"rose-hulman institute of technology (rhit)","engineering","60700","95800"
"california polytechnic state university san luis obispo (calpoly)","state schools","54200","95700"
"tufts university","private research universities","48600","95600"
"bentley university","private non-profit","49400","94900"
"bowdoin college","liberal arts","44900","94500"
"davidson college","liberal arts","41600","94500"
"drexel university","private research universities","51500","94400"
"missouri university of science and technology (mst)","state schools engineering","58600","94400"
"california college of the arts","arts & design","44800","94300"
"cooper union","engineering","56700","94300"
"university of illinois at urbana-champaign (uiuc)","state schools party schools","51500","94300"
"villanova university","private non-profit","52900","94300"
"st. john's university new york","private research universities","43800","93800"
"johns hopkins university","private research universities","54000","93400"
"bates college","liberal arts","43000","93200"
"ohio northern university (onu)","private non-profit","44800","92900"
"california state polytechnic university pomona","state schools","47600","92700"
"george washington university (gwu)","private research universities","48500","92700"
"university of chicago","private research universities","46900","92700"
"middlebury college","liberal arts","47400","92500"
"ohio wesleyan university (owu)","liberal arts","40300","92500"
"texas a&m university","state schools","50200","92500"
"dickinson college","liberal arts","43000","92400"
"wesleyan university (middletown connecticut)","liberal arts","49200","92000"
"rutgers university - new brunswick","state schools","49200","91800"
"hendrix college","liberal arts","38600","91500"
