"Geburtsdatum","Geburtsort","label","birth place"
"","http://dbpedia.org/resource/Accra","Joel Orleans",""
"1944-06-30","","Joellyn Duesberry",""
"","http://dbpedia.org/resource/Bali","Joey Alexander",""
"","http://dbpedia.org/resource/New_Brunswick","Joey Haley","http://dbpedia.org/resource/New_Brunswick"
"","","John C. Knapp",""
"","http://dbpedia.org/resource/Bothwell","John Chalmers (moderator)",""
"","http://dbpedia.org/resource/Ostend","John Crombez","http://dbpedia.org/resource/Ostend"
"1973","","John Cyrier","Place of birth missing"
"1957-02-11","http://dbpedia.org/resource/Ohio","John Douglas Simon","http://dbpedia.org/resource/Ohio"
"","http://dbpedia.org/resource/Washington_(state)","John Koenig (diplomat)","http://dbpedia.org/resource/Washington_(state)"
"","","John Maclean (photographer)",""
"","http://dbpedia.org/resource/Bergen","John Magnar Bernes","http://dbpedia.org/resource/Bergen"
"","http://dbpedia.org/resource/United_States","John Solomon Sandridge","http://dbpedia.org/resource/United_States"
"1933-01-14","http://dbpedia.org/resource/Rorschach","John Stutz",""
"1988-11-09","http://dbpedia.org/resource/Delta_State","John Theodore-Edevu","http://dbpedia.org/resource/Delta_State"
