"rang","name","staat(en)","fläche-(km²)","länge-(km)","max.-tiefe-(m)","volumen-(km³)"
"1.","kaspisches-meer","aserbaidschanrusslandkasachstanturkmenistaniran","371.000","1199","1025","78.200"
"2.","oberer-see","usa-kanada","82.414","616","405","12.100"
"3.","victoriasee","keniatansaniauganda","69.485","322","84","2750"
"4.","huronsee","usa-kanada","59.596","397","229","3540"
"5.","michigansee","usa","58.016","517","282","4918"
"6.","tanganjikasee","tansaniadr-kongosambiaburundi","32.893","676","1470","18.900"
"7.","baikalsee","russland","31.500","636","1680 (2008)","23.600"
"8.","großer-bärensee","kanada","31.080","373","446","2236"
"9.","malawisee","malawimosambiktansania","30.044","579","706","8400"
"10.","großer-sklavensee","kanada","28.930","480","614","2090"
"11.","eriesee","usa-kanada","25.719","388","64","489"
"12.","winnipegsee","kanada","23.553","425","18","283"
"13.","ontariosee","usa-kanada","19.477","311","244","1639"
"14.","balchaschsee","kasachstan","18.428","605","26","106"
"15.","ladogasee","russland","18.130","219","230","908"
"16.","aralsee","kasachstanusbekistan","17.160","428","-","-"
"17.","wostoksee","antarktis","15.690","250","1000","5400"
"18.","onegasee","russland","9891","248","120","280"
"19.","titicacasee","bolivien-peru","8135","177","281","893"
"20.","nicaraguasee","nicaragua","8001","177","26","-"
"21.","athabascasee","kanada","7920","335","243","204"
"22.","turkanasee","kenia-äthiopien","6405","248","109","204"
"23.","reindeer-lake","kanada","6330","245","337"," "
"24.","issyk-kul","kirgisistan","6200","182","668","1738"
"25.","urmia-see","iran","6001","130","16","-"
"26.","koko-nor","vr-china","5694","-","-","-"
"27.","vänern","schweden","5545","140","106","153"
"28.","lake-winnipegosis","kanada","5403","245","-","-"
"29.","albertsee","ugandadr-kongo","5299","161","58","280"
"30.","mwerusee","sambiadr-kongo","5120","-","27","-"
"31.","nettilling-lake","kanada","5051","123","-","-"
"32.","lake-nipigon","kanada","4848","-","165","-"
"33.","lake-manitoba","kanada","4706","200","-","-"
"34.","taimyrsee","russland","4560","250","26","-"
"35.","chankasee","russlandvr-china","4400","80","-","-"
"36.","lake-of-the-woods","kanada-usa","4390","120","-","-"
"37.","lake-dubawnt","kanada","3833","-","-","-"
"38.","vansee","türkei","3740","120","457","-"
"39.","tanasee","äthiopien","3628","84","14","-"
"40.","peipussee","estlandrussland","3555","143","14","-"
"41.","ubsa-nor","mongolei","3350","200","-","-"
"42.","amadjuak-lake","kanada","3115","80","-","-"
"43.","aydar-ko?l","usbekistan","3000","250","-","443"
"44.","kiwusee","dr-kongoruanda","2650","-","450","-"
"45.","alakol","kasachstan","2650","-","54","586"
"46.","iliamna-lake","usa","2622","120","&gt;150","-"
