"label","Geburtsort"
"Ted-Jan Bloemen","http://dbpedia.org/resource/Terherne"
"Hege Bøkko",""
"Tuomas Nieminen",""
"Jaap Eden",""
"Park Seung-hi","http://dbpedia.org/resource/Gyeonggi_Province"
"Jekaterina Wladimirowna Schichowa",""
"Péter Darázs","http://dbpedia.org/resource/Jászberény"
"David Bosa","http://dbpedia.org/resource/Trento"
"Kim Cheol-min","http://dbpedia.org/resource/Seoul"
"Patrycja Maliszewska","http://dbpedia.org/resource/Białystok"
"رونالد مولدر","http://dbpedia.org/resource/Zwolle"
"Lee Bo-ra","http://dbpedia.org/resource/Chuncheon"
"Atje Keulen-Deelstra",""
"Lee Ho-suk","http://dbpedia.org/resource/Seoul"
"Lana Gehring",""
"Liam McFarlane","http://dbpedia.org/resource/Alberta"
"Bart Veldkamp",""
"Harald Strøm",""
