"Geburtsort","death place","Sterbedatum","label","Sterbeort"
"","","","Andrew Lewis (boxing)",""
"","","","Andy Bell (boxer)",""
"","","","Billy Murray (boxer)",""
"http://dbpedia.org/resource/Arizona","","","Billy Wright (boxer)",""
"","","","Bombardier Billy Wells",""
"","","","Carlos Gallegos",""
"","","","Chalky Wright",""
"","","","David Price (Boxer)",""
"","","","Del Fontaine",""
"","","","Duke McKenzie",""
"","","","Ferenc Nagy (boxer)",""
"","","","ゲビン・リース",""
"","","","George Dixon (boxer)",""
"","","","George Foster (boxer)",""
"","","","George Scott (boxer)",""
"","","","Ian Napa",""
"","","","Jack Sharkey",""
