"#","athlete name","gp","serv rec","err"
"NULL","graph data","[+]","NULL","NULL"
"5","g. adelman","43","NULL","NULL"
"6","j. spieker","10","NULL","NULL"
"8","t. pacheco","41","NULL","NULL"
"9","j. hitt","3","NULL","NULL"
"10","c. nelson","43","NULL","NULL"
"11","l. nunez","42","NULL","NULL"
"13","w. crowe","4","NULL","NULL"
"14","b. white","42","NULL","NULL"
"15","m. lawler","5","NULL","NULL"
"18","t. may","43","NULL","NULL"
"19","k. lawler","42","NULL","NULL"
"NULL","season totals","63","NULL","NULL"
