"Name","Wikipage revision ID","label","Wikipage page ID","field"
"Thermal trauma","682276980","Thermal trauma","47901201","http://dbpedia.org/resource/Emergency_medicine"
"","683985822","Zygomaticomaxillary complex fracture","47644551",""
"","","Ackerman syndrome","",""
"","","Akranie","",""
"","","Acute kidney injury","",""
"","682022916","Acute myeloid leukemia","4323952",""
"","682313156","Aerosol burn","36300495",""
"","","Angiomyolipoma","",""
"","682871965","Antisocial personality disorder","199051",""
"","","Apparent mineralocorticoid excess syndrome","",""
"","","Arakawa's syndrome II","",""
"","","Atypische duktale Hyperplasie","",""
"","","اضطرابات المعالجة السمعية","",""
"","","Avoidant personality disorder","",""
"","","Basilar skull fracture","",""
"","","Geburtstrauma","",""
"","671236338","Blackwater fever","889450",""
"","","Detrusor-Sphinkter-Dyssynergie","",""
"","682441079","Blue balls","523195",""
"","","Body dysmorphic disorder","",""
