"species","last recorded","status","&nbsp;&nbsp;       2004 -2010","2011","notes"
"abies alba (european silver-fir)","pre-1970","alien","NULL","&nbsp;","NULL"
"abies grandis (giant fir)","1987-1999","alien","NULL","&nbsp;","NULL"
"acer campestre (field maple)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"acer platanoides (norway maple)","1987-1999","alien","&nbsp;&nbsp;&nbsp;yes","a","&nbsp;"
"acer pseudoplatanus (sycamore)","1987-1999","alien","&nbsp;&nbsp;&nbsp;yes","a","&nbsp;"
"achillea millefolium (yarrow)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"achillea ptarmica (sneezewort)","1987-1999","native","yes","&nbsp;","&nbsp;"
"aconitum napellus sens. lat. (monk's-hood)","1970-1986","alien","2005 only","&nbsp;","&nbsp;&nbsp;"
"adonis annua (pheasant's-eye)","pre-1970","alien","extinct","extinct","&nbsp;"
"adoxa moschatellina (moschatel)","1987-1999","native","&nbsp;&nbsp;yes","a","&nbsp;"
"aegopodium podagraria (ground-elder)","1987-1999","alien","&nbsp;&nbsp;&nbsp;yes","&nbsp;","&nbsp;"
"aesculus carnea (red horse-chestnut)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"aesculus hippocastanum (horse-chestnut)","1987-1999","alien","&nbsp;yes","a","&nbsp;"
"aethusa cynapium (fool's parsley)","1987-1999","native","yes","&nbsp;","&nbsp;"
"agrimonia eupatoria (agrimony)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"agrostemma githago (corncockle)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"agrostis canina (velvet bent)","1987-1999","native","yes","&nbsp;","&nbsp;"
"agrostis capillaris (common bent)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"agrostis gigantea (black bent)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"agrostis stolonifera (creeping bent)","1987-1999","native","yes","&nbsp;","&nbsp;"
"agrostis vinealis (brown bent)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"aira caryophyllea (silver hair-grass)","1987-1999","native","yes","&nbsp;","&nbsp;"
"aira praecox (early hair-grass)","1987-1999","native","yes","&nbsp;","&nbsp;"
"ajuga reptans (bugle)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"alchemilla acutiloba (alchemilla acutiloba)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"alchemilla alpina (alpine lady's-mantle)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"alchemilla conjuncta (silver lady's-mantle)","1970-1986","alien","extinct","extinct","&nbsp;last seen 1990 - watergate pit - now destroyed."
"alchemilla filicaulis subsp. vestita (hairy lady's       mantle)","1970-1986","native","yes","&nbsp;","&nbsp;"
"alchemilla glabra (smooth lady's mantle)","1987-1999","native","2007 only","a","&nbsp;"
"alchemilla mollis (garden lady's-mantle)","1987-1999","alien","yes","&nbsp;","kibblesworth - lamesley - timber beach"
"alchemilla xanthochlora (intermediate lady's mantle)","1987-1999","native","&nbsp;","a","&nbsp;"
"alisma plantago-aquatica (water-plantain)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"alliaria petiolata (garlic mustard)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"allium carinatum (keeled garlic)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"allium cepa (onion)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"allium oleraceum (field garlic)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"allium paradoxum (few-flowered garlic)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;ryton churchyard"
"allium scorodoprasum (sand leek)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;wylam bridge - clara vale - abundant"
"allium triquetrum (three-cornered garlic)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"allium ursinum (ramsons)","1987-1999","native","&nbsp;&nbsp;yes","a","&nbsp;"
"allium vineale (wild onion)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"alnus cordata (italian alder)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"alnus glutinosa (alder)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"alnus incana (grey alder)","1987-1999","alien","&nbsp;yes","a","&nbsp;"
"alopecurus geniculatus (marsh foxtail)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"alopecurus pratensis (meadow foxtail)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"amaranthus retroflexus (common amaranth)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"ammi majus (bullwort)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"ammophila arenaria (marram)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"anacamptis pyramidalis (pyramidal orchid)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"anagallis arvensis (scarlet pimpernel)","1987-1999","native","yes","&nbsp;","&nbsp;"
"anagallis arvensis subsp. foemina (blue pimpernel)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"anagallis minima (chaffweed)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"anagallis tenella (bog pimpernel)","pre-1970","native","extinct","extinct","&nbsp;"
"anchusa arvensis (bugloss)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"anemone nemorosa (wood anemone)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"angelica archangelica (garden angelica)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"angelica sylvestris (wild angelica)","1987-1999","native","yes","&nbsp;","&nbsp;"
"anisantha diandra (great brome)","pre-1970","alien","yes","&nbsp;","kibblesworth brickworks pools 2009"
"anisantha madritensis (compact brome)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"anisantha sterilis (barren brome)","1987-1999","alien","yes","a","NULL"
"anthemis arvensis (corn chamomile)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"anthemis cotula (stinking chamomile)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"anthemis tinctoria (yellow chamomile)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"anthoxanthum odoratum (sweet vernal-grass)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"anthriscus sylvestris (cow parsley)","1987-1999","native","&nbsp;&nbsp;yes","a","&nbsp;"
"anthyllis vulneraria (kidney vetch)","1987-1999","native","&nbsp;     yes","a","&nbsp;"
"antirrhinum majus (snapdragon)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"apera spica-venti (loose silky-bent)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"aphanes arvensis (parsley-piert)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"aphanes australis (slender parsley-piert)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"apium graveolens (wild celery)","1987-1999","native","&nbsp;  yes","&nbsp;","team/tyne confluence"
"apium inundatum (lesser marshwort)","pre-1970","native","extinct","extinct","&nbsp;"
"apium nodiflorum (fool's-water-cress)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"aquilegia vulgaris (columbine)","1987-1999","native","&nbsp;","a","2011 as an alien"
"arabidopsis thaliana (thale cress)","1987-1999","native","&nbsp;&nbsp;yes","a","&nbsp;"
"arabis caucasica (garden arabis)","not in atlas","alien","&nbsp;","&nbsp;","&nbsp;burnthouse/hole lane sunniside 1987-1991      at least."
"arabis glabra (tower mustard)","pre-1970","native","extinct","extinct","&nbsp;"
"arabis hirsuta (hairy rock-cress)","pre-1970","native","extinct","extinct","&nbsp;"
"arctium minus sens. lat. (lesser burdock)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"arenaria balearica (mossy sandwort)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"arenaria serpyllifolia subsp. serpyllifolia      (thyme-leaved sandwort)","1987-1999","native","yes","&nbsp;","&nbsp;"
"arenaria serpyllifolia subsp.leptocladus","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"argemone mexicana (mexican poppy)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"armeria maritima (thrift)","1987-1999","native","&nbsp;","&nbsp;","team/tyne confluence"
"armoracia rusticana (horse-radish)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"arrhenatherum elatius (false oat-grass)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"artemisia absinthium (wormwood)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"artemisia verlotiorum (chinese mugwort)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"artemisia vulgaris (mugwort)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"arum maculatum (lords-and-ladies)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"asparagus officinalis subsp.officinalis (garden       asparagus)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"asperula arvensis (blue woodruff)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"asplenium adiantum-nigrum (black spleenwort)","1987-1999","native","yes","a","&nbsp;"
"asplenium marinum (sea spleenwort)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
