"Link from a Wikipage to an external page","Wikipage page ID","label","Wikipage revision ID"
"https://rmurcia.podemos.info/","47736823","Podemos Region of Murcia","680025450"
"","46912793","Possible (Italy)","680995508"
"","46388962","Puyalón",""
"","","RISE - Scotland's Left Alliance",""
"","","Residents for Uttlesford",""
"http://www.istadegy.com","47673798","Resistance Front of Islamic Iran","679460597"
"http://RestoreTheFamily.party/","46608118","Restore the Family for Children's Sake","666655667"
"http://www.psro.ro/","46915170","Romanian Social Party","665996486"
"http://www.srb-akcija.org/","48018042","Serbian Action","683984507"
"http://www.coalizione-sociale.it","46922388","Social Coalition","672836097"
"","46616291","The Justice & Anti-Corruption Party","661268572"
"","47012213","Thousand Hope Candidates","683232394"
"","46262950","Juntos pelo Povo","654157397"
"","46384532","Unidad del Pueblo",""
"","47041678","Unitat Municipal 9","678196421"
"http://www.visionconvalores.com/","47745768","Vision with Values","683792813"
"http://www.u-d-e.com","47742028","Écologistes !","680631544"
"","47282962","Allianz für Fortschritt und Aufbruch","683795350"
"","45371743","Alternative Party (Turkey)",""
"http://www.alparti.org.tr","45372182","Alternative and Change Party","656169014"
