"family","preferred_species_name","common name","wra score","wra designation"
"arecaceae","pritchardia thurstonii","thurstons fan palm","-4","l"
"rosaceae","prunus grisea","amongyang","2","evaluate"
"acanthaceae","aphelandra aurantiaca","fiery spike","-2","l"
"acanthaceae","asystasia gangetica","chinese violet","12","h (hpwra)"
"acanthaceae","eranthemum pulchellum","blue sage","0","l"
"acanthaceae","graptophyllum pictum","caricature-plant","-5","l"
"acanthaceae","hemigraphis alternata","metallic plant","1","l"
"acanthaceae","hygrophila polysperma","east indian swampweed","20","h (hpwra)"
"acanthaceae","justicia brandegeeana","shrimp plant","-1","l"
"acanthaceae","megaskepasma erythrochlamys","red cloak","-2","l"
"acanthaceae","odontonema cuspidatum","firespike","7","h (hpwra)[revised]"
"acanthaceae","pachystachys lutea","yellow shrimp plant","-4","l"
"acanthaceae","pseuderanthemum graciliflorum","blue crossandra","1","l"
"acanthaceae","ruellia caroliniensis","carolina wild petunia","1","l"
"acanthaceae","ruttya fruticosa","rabbit ears","1","evaluate"
"acanthaceae","sanchezia speciosa","sanchezia","3","l"
"acanthaceae","thunbergia grandiflora","blue trumpet vine","11","h (hpwra)"
"acanthaceae","thunbergia laurifolia","blue trumpet vine","11","h (hpwra)"
"acanthaceae","thunbergia mysorensis","mysore clock vine","-6","l"
"aceraceae","acer rubrum","red maple","8","h (hpwra)"
"agavaceae","dasylirion acrotrichum","green desert spoon","0","l"
"agavaceae","dasylirion quadrangulatum","mexican grass tree","-4","l"
"agavaceae","dracaena draco","dragon tree","-5","l"
"agavaceae","dracaena fragrans","corn plant","0","l"
"agavaceae","dracaena marginata","money tree","-1","l"
"agavaceae","nolina recurvata","ponytail palm","-4","l"
"agavaceae","phormium tenax","new zealand flax","8","h (hawai�i)"
"agavaceae","sansevieria trifasciata","mother-in-law's tongue","9","h (hpwra)"
"agavaceae","yucca guatemalensis","bluestem yucca","6","l"
"aizoaceae","aptenia cordifolia","hearts and flowers","5","l"
"aizoaceae","carpobrotus edulis","ice plant","9.5","h (hpwra)"
"amaranthaceae","iresine herbstii","blood leaf","0","l"
"anacardiaceae","anacardium occidentale","cashew tree","0","l"
"anacardiaceae","schinus molle","peruvian pepper tree","10","h (hpwra)"
"anacardiaceae","schinus terebinthifolius","christmas berry","19","h (hawai�i)"
"anacardiaceae","spondias dulcis","wi apple","-5","l"
"anacardiaceae.","mangifera indica","mango","1","l"
"annonaceae","annona cherimola","cherimoya","-4","l"
"annonaceae","annona muricata","soursop","-3","l"
"annonaceae","annona squamosa","sugar apple","-2","l"
"annonaceae","artabotrys hexapetalus","climbing ylang-ylang","-1","l"
"annonaceae","cananga odorata","perfume tree","3","l"
"annonaceae","polyalthia longifolia var pendula","mast tree","-4","l"
"apiaceae","foeniculum vulgare","fennel","19","h (hpwra)"
"apiaceae","petroselinum crispum","parsley","-1","l"
"apocynaceae","adenium obesum","desert rose","-8","l"
"apocynaceae","allamanda blanchetii","purple allamanda","6","evaluate"
"apocynaceae","allamanda cathartica","golden trumpet allamanda","8","h (hpwra)"
"apocynaceae","alstonia macrophylla","deviltree","9","h (hpwra)"
"apocynaceae","beaumontia grandiflora","easter-lily-vine","-6","l"
"apocynaceae","beaumontia multiflora","herald's trumpet","-4","l"
"apocynaceae","carissa grandiflora","natal plum","-1","l"
"apocynaceae","catharanthus roseus","madagascar periwinkle","2","l"
"apocynaceae","cerbera manghas","pink-eyed cerbera","1","l"
"apocynaceae","kopsia fruticosa","shrub vinca","-6","l"
"apocynaceae","kopsia singapurensis","singapore kopsia","-4","l"
"apocynaceae","mandevilla � amabilis","pink allamanda hybrid","-11","l"
"apocynaceae","nerium oleander","oleander","6","l (hawai�i)"
"apocynaceae","pentalinon luteum","wild allamanda","9","h (hpwra)"
"apocynaceae","plumeria obtusa","evergreen frangipani","-6","l"
"apocynaceae","plumeria rubra","frangipani","-5","l"
"apocynaceae","rauvolfia vomitoria","poison devil's pepper","11","h (hpwra)"
"apocynaceae","stemmadenia litoralis","lecheso","-5","l"
"apocynaceae","strophanthus amboensis","elephant vine","2","evaluate"
"apocynaceae","strophanthus preussii","climbing oleander","0","l"
"apocynaceae","tabernaemontana elegans","warty toad tree","-1","l"
"apocynaceae","thevetia peruviana","be-still tree","9","h (hpwra)"
"apocynaceae","thevetia thevetioides","giant thevetia","1","l"
"apocynaceae","trachelospermum jasminoides","confederate jasmine","-3","l"
"aquifoliaceae","ilex cassine","dahoon holly","3","evaluate"
"aquifoliaceae","ilex dimorphophylla","okinawan holly","2","l"
"aquifoliaceae","ilex paraguariensis","yerba mate","8","h (hpwra)"
"araceae","aglaonema commutatum","aglaonema","1","l"
"araceae","aglaonema nitidum","aglaonema","0","l"
"araceae","alocasia cucullata","dwarf elephant ear","9","h (hpwra)"
"araceae","alocasia sanderiana","kris plant","-2","l"
"araceae","anthurium holeri","birds nest anthurium","-6","l"
"araceae","dieffenbachia seguine (outdoors)","dumbcane","7","h (hpwra)"
"araceae","epipremnum pinnatum","pothos","9","h (hpwra)"
"araceae","monstera deliciosa","swiss-cheese plant","1","l"
"araceae","philodendron scandens","heart-leaf philodendron","-3","l"
"araceae","spathiphyllum cannifolium","spathe flower","-4","l"
"araceae","spathiphyllum wallisii","peace lily","-4","l"
"araceae","syngonium auritum","five-fingers","1","l"
"araceae","syngonium podophyllum","arrowhead plant","15","h (hpwra)"
"araceae","xanthosoma robustum","elephant ear","3","evaluate"
"araceae","zantedeschia aethiopica","calla lily","15","h (hpwra)"
"araliaceae","cussonia paniculata","mountain cabbage tree","-7","l"
"araliaceae","cussonia spicata","cabbage tree","-5","l"
"araliaceae","hedera algeriensis","algerian ivy","4","h (hpwra)"
"araliaceae","hedera helix","english ivy","10","h (hpwra)"
"araliaceae","polyscias filicifolia","geranium aralia","0","l"
"araliaceae","polyscias fruticosa","ming aralia","-1","l"
"araliaceae","polyscias guilfoylei","panax","0","l"
"araliaceae","schefflera actinophylla","octopus tree","13","h (hawai�i)"
"araliaceae","schefflera arboricola","dwarf umbrella-tree","3","evaluate"
"araliaceae","schefflera elegantissima","false aralia","0","l"
"araliaceae","schefflera taiwaniana","umbrella plant","1","evaluate"
"araucariaceae","agathis robusta","queensland kauri","-5","l"
"araucariaceae","araucaria columnaris","cols pine","-5","l"
"araucariaceae","araucaria heterophylla","norfolk island pine","-5","l"
"arecaceae","acoelorraphe wrightii","everglades palm","2","evaluate"
"arecaceae","archontophoenix alexandrae","alexandra palm","8","h (hpwra) [revised 1/22/08]"
"arecaceae","archontophoenix cunninghamiana","king palm","6","evaluate [revised 1/22/08]"
"arecaceae","archontophoenix tuckeri","peach creek palm","4","evaluate"
"arecaceae","balaka longirostris","mbalaka","0","l"
"arecaceae","beccariophoenix madagascariensis","window palm","-7","l"
"arecaceae","bismarckia nobilis","bismarck palm","-7","l"
"arecaceae","brahea armata","blue hesper palm","3","l"
"arecaceae","carpentaria acuminata","carpentaria palm","-5","l"
"arecaceae","caryota mitis","fishtail palm","1","evaluate"
"arecaceae","coccothrinax barbadensis","puerto rico silver palm","2","evaluate"
"arecaceae","cocos nucifera","coconut palm","-4","l"
"arecaceae","colpothrinax wrightii","barrel palm","-2","l"
"arecaceae","copernicia prunifera","carnauba wax palm","0","l"
"arecaceae","cyrtostachys renda","sealing wax palm","1","evaluate"
"arecaceae","dictyosperma album","hurricane palm","-3","l"
"arecaceae","dypsis decaryi","triangle palm","-7","l"
"arecaceae","dypsis lutescens","areca  palm","2","l (hawai�i)"
"arecaceae","elaeis guineensis","african oil palm","10","h (hpwra)"
"arecaceae","euterpe oleracea","assai","5","evaluate"
"arecaceae","hyophorbe lagenicaulis","bottle palm","-3","l"
"arecaceae","laccospadix australasica","atherton palm","1","evaluate"
"arecaceae","latania loddigesii","blue latan palm","-8","l"
"arecaceae","livistona chinensis","chinese fan palm","5","evaluate"
"arecaceae","livistona rotundifolia","footstool palm","-1","l"
"arecaceae","metroxylon amicarum","caroline ivory nut palm","0","l"
"arecaceae","phoenix dactylifera","date palm","10","h (hpwra)"
"arecaceae","phoenix roebelenii","pygmy date palm","-5","l"
"arecaceae","ptychosperma elegans","alexander palm","2","evaluate"
"arecaceae","ptychosperma macarthurii","macarthur palm","1","h (hpwra)"
"arecaceae","roystonea oleracea","cabbage palm","-3","l"
"arecaceae","roystonea regia","florida royal palm","0","l"
"arecaceae","sabal mauritiiformis","savannah palm","-2","l"
