"label","Geburtsdatum","Geburtsort","birth place"
"Baadshah Pehalwan Khan","1993-09-09","http://dbpedia.org/resource/Wah","http://dbpedia.org/resource/Wah"
"Eden Stiles","","http://dbpedia.org/resource/United_States",""
"Flyer (wrestler)","","http://dbpedia.org/resource/Monclova","http://dbpedia.org/resource/Monclova"
"Cora Combs","","",""
"Ayoub Baninosrat","1968","http://dbpedia.org/resource/Tabriz",""
"Babacar Sar","","",""
"Dave Levin (wrestler)","","http://dbpedia.org/resource/Brooklyn","http://dbpedia.org/resource/Brooklyn"
"John Michael Meek","","",""
"Jonnie Stewart","","http://dbpedia.org/resource/Chicago","http://dbpedia.org/resource/Chicago"
"Lina Fanene","","http://dbpedia.org/resource/Honolulu",""
"Oumar Samba Sy","","",""
"Salem Ould Habib","","",""
"Samba Adama","","",""
"青狼武士","","http://dbpedia.org/resource/Ulaanbaatar",""
"Alireza Karimi","","",""
