"&#8211;","HABS","SABRES"
"Goals:","Cammalleri (15)","Richards (11)"
"Assists:","Plekanec (20)","Carter/Pronger(14)"
"Points:","Plekanec (26)","Carter (23)"
"Pluys/Minus:","Cammalleri (+9)","Carle (+13)"
"Time on Ice:","Hamrlik (24:43 per game)","Pronger (26:18 per game)"
"PIMs:","Mara(44)","Carcillo (87)"
"Shots:","Cammalleri(102)","Carter (116)"
"SVP:","Price (.913)","Boucher (.912)"
"GAA:","Price (2.77)","Boucher (2.52)"
"Wins:","Price (8 )","Emery (11)"
"Injuries:","Markov (ankle end of december)Gionta (foot week-to-week)Pouliot (wrist day-to-day)","Rathje (hip/back done)Gagn? (hernia end of December)Tollefsen (concussion indefinitely)Powe (shoulder end of December)Betts (Shoulder end of December)Carcillo (suspended 4 games)"
"Last 10:","4-4-2","3-7-0"
"Standings:","13-14-2 11th 28 points","13-12-1 12th 27 points"
"GF/GA:","73GF 29th / 86GA 18th","79GF 10th / 76GA 17th"
"PP/PK %:","16.3% 25th / 81.2% 13th","22.6% 5th / 78.3% 24th"
