"Part No.","Description","Capacity","Packaging"
"MN520R-LR","Natural Round MicroFlex? Tips Round Capillary Section OD: 0.57mm","0.1-200 uL","200/rack 800/case"
"MN520R-LRS","Sterilized Natural Round MicroFlex? Tips in Individually-Wrapped MaxiRacks","0.1-200 uL","200/rack 800/case"
"MN320F-LR","Natural Flat MicroFlex? Tips Flat Capillary Section OD: 0.37mm","0.1-200 uL","200/rack 800/case"
"MN320F-LRS","Sterilized Natural Flat MicroFlex? Tips in Individually-Wrapped MaxiRacks","0.1-200 uL","200/rack 800/case"
"MN120U-LR","Natural Ultra-Flat MicroFlex? Tips Ultra-Flat Capillary Section OD: 0.17mm","0.1-200 uL","200/rack 800/case"
"MN120U-LRS","Sterilized Natural Ultra-Flat MicroFlex? Tips in Individually-Wrapped MaxiRacks","0.1-200 uL","200/rack 800/case"
"DN501R-LR","Natural Round DecaFlex? Tips Round Capillary Section OD: 0.57mm","0.1-10 uL","200/rack 800/case"
"DN501R-LRS","Sterilized Natural Round DecaFlex? Tips in Individually-Wrapped MaxiRacks","0.1-10 uL","200/rack 800/case"
"DN301F-LR","Natural Flat DecaFlex? Tips Flat Capillary Section OD: 0.37mm","0.1-10 uL","200/rack 800/case"
"DN301F-LRS","Sterilized Natural Flat DecaFlex? Tips in Individually-Wrapped MaxiRacks","0.1-10 uL","200/rack 800/case"
"DN101U-LR","Natural Ultra-Flat DecaFlex? Tips Ultra-Flat Capillary Section OD: 0.17mm","0.1-10 uL","200/rack 800/case"
"DN101U-LRS","Sterilized Natural Ultra-Flat DecaFlex? Tips in Individually-Wrapped MaxiRacks","0.1-10 uL","200/rack 800/case"
