"label","Wikipage page ID"
"ACA Women's Cricket Academy Ground","47719844"
"Abbey Greyhound Stadium","47864395"
"Ascend Amphitheater",""
"Awadhesh Pratap Singh University Stadium","48009506"
"Azoty Arena","46854907"
"Bearkat Softball Complex","46542595"
"Bulstrad Arena",""
"Burnaby Velodrome","45647153"
"Burnpur Cricket Club Ground",""
"Cardinals Field","46574156"
"Cooch Behar Stadium",""
"Cowgirl Diamond","46538998"
"Digvijay Stadium",""
"Dori Lal Agarawal Sports Stadium",""
"Eastern Railway Divisional Stadium",""
"Estadio Anxo Carro","46656289"
"Estadio BBVA Bancomer (Baseball)","46637650"
"Estadio Zorros del Desierto","46479897"
"FACT Stadium",""
"Farris Field","46522030"
