"Wikipage page ID","abstract","thumbnail","label","Wikipage revision ID"
"47665409","Queijo coalho grelhado is a Brazilian specialty of coalho cheese grilled like a kebab.","","Queijo coalho grelhado","679720453"
"11558578","","","Alouette cheese","645026054"
"17644269","","","Bowland cheese","580046693"
"","","","Cowgirl Creamery",""
"9407523","","","Santarém (fromage)","573373162"
"","","","Blue Rathgore",""
"2144566","","","Durrus Farmhouse Cheese","683706021"
"3234565","","","Piave cheese","642109910"
"3422860","","","Salers cheese","597018502"
"","","","Tintern cheese",""
"","","","Red Windsor",""
"28139506","","","Pecorino Toscano","597624591"
"41116721","","","Beenleigh Blue cheese","681079720"
"","","","Brânză de burduf",""
"","","","Saint Albray",""
"5582148","","","Quesillo","635674394"
"9040940","","","Triple cream","545854120"
"17471966","","","Little Derby","582310169"
"","","","Gaperon",""
